sample	analogue	n_reads	n_positive_reads	total_labelled_bp	mean_bp	sd_bp	minimum_bp	q1_bp	q2_median_bp	q3_bp	q4_maximum_bp
OV3_Cisp0	EdU	1903	1903	6831648	3589.94	1954	938	2228	3352	4527.5	20529
OV3_Cisp0	BrdU	1903	1903	12353120	6491.39	4687.24	971	3159.5	5108	8810	34982
OV3_Cisp0	EdU+BrdU	1903	1903	19184768	10081.33	5177.02	2055	6394.5	8946	12655.5	39965
OV3_Cisp1_masked	EdU	165	165	412480	2499.88	1937.1	1001	1324	1817	3013	13404
OV3_Cisp1_masked	BrdU	165	165	690261	4183.4	3471.73	1003	1604	3415	5300	26210
OV3_Cisp1_masked	EdU+BrdU	165	165	1102741	6683.28	3730.82	2105	3768	5800	8463	27512
UWB_Cisp0	EdU	1696	1696	4226196	2491.86	1594.97	1001	1509.75	2150	3121.75	37864
UWB_Cisp0	BrdU	1696	1696	7356822	4337.75	2836.62	542	2375	3752.5	5287.75	24718
UWB_Cisp0	EdU+BrdU	1696	1696	11583018	6829.61	3170.9	2040	4730.75	6253	8225.25	39107
UWB_Cisp1	EdU	427	427	1011467	2368.78	1646.47	1000	1336.5	1930	2841.5	20326
UWB_Cisp1	BrdU	427	427	1798828	4212.71	2794.33	1004	2067	3547	5416.5	18026
UWB_Cisp1	EdU+BrdU	427	427	2810295	6581.49	3129.37	2042	4276.5	5981	8354	22103
