chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction
chr1	1750428	1760088	876651bd-c207-47cb-8260-2b76365d5a23	1748526	1764431	fwd	9660	2122	7191	0	0.621118	0.04664	0.627668	-3	left
chr1	3569076	3573859	92448c87-d57c-4ce1-875f-7e391594bb09	3563791	3573865	rev	4783	1778	2702	0.077419	0.451613	0.044092	0.638448	-3	left
chr1	5364381	5374727	f8283be1-8bd4-4efe-a098-9d72cc2e4e21	5361251	5385372	fwd	10346	3121	4225	0.100829	0.573204	0.001896	0.883412	-3	left
chr1	5940100	5945481	5b17d4f3-aa8d-41c4-843d-079935997e35	5938607	5946980	rev	5381	1193	3957	0	0.568562	0.033026	0.877112	-3	left
chr1	7995757	8001224	e02c9e88-0e99-453a-ac11-609d6e527915	7990165	8006595	fwd	5467	2033	3172	0.023392	0.482456	0.018557	0.630928	-3	left
chr1	9988704	9997716	0cb67200-6435-4400-bfbc-fb24795db75c	9986767	10002885	rev	9012	4391	4259	0	0.781925	0.035584	0.767336	-3	left
chr1	18986212	18992573	4ca19fae-3214-41de-a306-26a2f9fa464d	18986201	18992587	fwd	6361	1848	4172	0.027542	0.792373	0.053236	0.841336	-3	left
chr1	20361174	20371883	742aaf2e-1b27-4fb4-9bc1-51b0fd14253d	20361168	20380458	rev	10709	2901	7255	0.004149	0.762102	0.058299	0.612731	-3	left
chr1	26420072	26432804	0b323efb-ea72-45c6-8dda-cff3e20ed9be	26418410	26433142	fwd	12732	1919	9150	0	0.784223	0.016293	0.854453	-3	left
chr1	26479491	26485444	5fba7be8-790b-41ef-8173-6294ce174c7b	26477534	26489902	fwd	5953	1561	3239	0	0.411905	0.006263	0.824635	-3	left
chr1	27232988	27236698	ad694848-2e5b-4cbb-8fe9-ea6f4c7e8abc	27226197	27236703	fwd	3710	1360	1414	0.09466	0.407767	0.053412	0.821958	-1	left
chr1	28502990	28510351	cbc6c9c3-fafd-40bc-b40c-fdc9df4d1473	28502976	28517428	rev	7361	3651	3369	0.009558	0.747909	0.016949	0.749395	-3	left
chr1	28996496	29005125	66e4e179-1fbe-4d23-b73e-6fbe0c3c98fa	28996491	29007367	rev	8629	1288	6868	0	0.592697	0.002042	0.927514	-3	left
chr1	30959864	30965711	cbb41624-af40-412b-8d79-e1207db9a325	30957904	30965718	rev	5847	2113	2472	0	0.777592	0	0.929224	-3	left
chr1	37423935	37426926	2b715515-7066-4295-b416-ad9d88e92f0b	37423929	37431534	fwd	2991	1552	1078	0	0.578512	0	0.714894	-3	left
chr1	37690814	37697210	5a251473-3155-4844-a5a3-8608dd8878f7	37690808	37697221	rev	6396	4784	1347	0.01059	0.880484	0.014652	0.875458	-3	left
chr1	40197377	40204289	f6511379-bf5a-45b3-b891-16e0b7c0f3fc	40197366	40208428	rev	6912	1976	4562	0.036609	0.737958	0.031891	0.785877	-3	left
chr1	41882757	41889357	df34726b-482c-4982-ac26-1fb847d467a0	41882752	41890595	rev	6600	3099	1406	0.045216	0.592008	0.040541	0.667568	-3	left
chr1	41976862	41981748	2e2f68bf-de1a-4d35-8380-9d06ea782195	41975305	41990819	rev	4886	2857	1709	0.002469	0.77037	0.069565	0.591304	-3	left
chr1	42849423	42857889	2984fd42-63c7-435c-b4db-e7e89cff478a	42849418	42857957	rev	8466	5810	2416	0.000721	0.870944	0.032646	0.823024	-3	left
chr1	43060015	43064885	e2776ac3-7a61-490d-9768-d36d41ca12a8	43055798	43076451	fwd	4870	1518	3022	0	0.490338	0.052857	0.668571	-3	left
chr1	43546221	43550414	75b51dd4-6fe5-4286-88e6-1920899e4400	43545244	43550734	rev	4193	1316	2494	0.00813	0.264228	0.092369	0.742972	-3	left
chr1	47313297	47316968	9d3aa54a-4d67-4902-83ab-cec837a61b52	47313289	47320842	fwd	3671	913	1475	0	0.442553	0.005682	0.857955	-3	left
chr1	51003235	51011506	6badf0cb-b38c-43a7-977c-9431efb600e2	51001117	51011512	fwd	8271	1798	2551	0.070615	0.719818	0	0.941272	-3	left
chr1	54605924	54615774	7a9f6764-9f43-4a69-8174-0d43fb85c669	54605920	54615782	fwd	9850	1017	7810	0.14433	0.690722	0.092807	0.694896	-3	left
chr1	67170573	67177534	580086ee-2485-430f-a211-ad1cc05759d8	67164058	67184713	fwd	6961	2169	4503	0.001473	0.574374	0.005004	0.693352	-3	left
chr1	69967899	69978010	646b0bb9-6be8-418c-b4ec-10da8d502bbd	69956366	69989233	rev	10111	4704	4840	0.001594	0.700398	0.015464	0.845876	0.216135	left
chr1	72419249	72427032	3626e5a9-eeb3-4cc8-8f46-12a3ac067115	72416555	72431084	fwd	7783	1622	3878	0.03864	0.553323	0.01244	0.811483	-3	left
chr1	73939346	73945088	b51008db-9b55-43ac-8052-8e44b6a8841e	73934013	73961474	fwd	5742	4573	596	0.063459	0.721757	0.238372	0.44186	-1	left
chr1	82323645	82328309	66a9ab6d-231e-47f6-a2a3-86c7bf5ded19	82323641	82330221	fwd	4664	1053	1429	0	0.22179	0.086162	0.616188	-3	left
chr1	83715302	83725407	fb03ff8d-7172-4d14-abfc-0a99510492f5	83715291	83725415	rev	10105	1012	8864	0.003788	0.530303	0.015004	0.778183	-3	left
chr1	85740969	85746450	4cfa0576-0695-406b-8778-c31230eb39d0	85739734	85750966	fwd	5481	1155	3938	0.119114	0.418283	0.073438	0.595313	-3	left
chr1	87075294	87082154	90644f48-6b07-447c-85b4-b6abc04ecde1	87075285	87085231	fwd	6860	3458	1414	0	0.602871	0.027907	0.711628	-3	left
chr1	87753208	87760289	a9444558-0a37-46e5-904a-8cbe29c1ab45	87753203	87761676	fwd	7081	1934	4855	0.020305	0.619289	0.004542	0.847843	-3	left
