chromosome	EdU_start	EdU_end	readID	read_start	read_end	strand
chr1	4094095	4095410	cfca1aee-21f5-4454-9024-95693bec59c2	4080633	4097117	fwd
chr1	11166972	11170470	26fe9c16-a239-4aa1-9f1f-02d117e40ffa	11165379	11174169	fwd
chr1	17915276	17916438	2d744a2c-0875-4f44-9f56-5271fe87be2d	17911012	17923765	fwd
chr1	20655327	20657975	ed01006b-1fd4-411e-a5b9-fa0b57d047b4	20653154	20660541	fwd
chr1	27598714	27600661	41a1a5c8-5e54-4227-9fb3-877153678f89	27595090	27613991	rev
chr1	41301536	41305240	6a960373-8ff8-475c-973b-ccc3f85903ba	41290417	41305247	rev
chr1	42231108	42232193	c0fed43a-80cf-40bf-956c-33809b18a145	42225857	42239969	rev
chr1	51989716	51992708	a7f85bbd-b8e8-45d1-ab69-4e4dfa308906	51986899	51992717	rev
chr1	53260367	53262107	6403bf30-c70b-4d52-a11c-e19805bd1383	53255851	53262509	rev
chr1	62463947	62467268	398f1635-812f-4c13-8d54-48d68e964fd4	62456590	62467276	rev
chr1	68067468	68069578	403f9c31-a452-41cc-9036-7c0e4cd9f169	68062168	68072420	fwd
chr1	75629927	75632125	630f3f0b-b144-4fab-afba-6d7c2c85def3	75628145	75635299	fwd
chr1	76557966	76559034	54b5f1fe-03f8-4b22-97e6-b662eebbedbe	76556268	76570251	rev
chr1	82115727	82117394	8b95ac74-703a-4577-9dc6-a7537a605b71	82109356	82126317	fwd
chr1	91795456	91797059	96dd2887-40d4-4d24-adb0-3002b5559146	91793349	91798708	fwd
chr1	92235613	92238652	811d94e4-cf44-44ef-bd03-450b3cab67b6	92235607	92245686	fwd
chr1	96732931	96738820	042d4a44-baaf-42f5-9d80-3fbbfe3b30d8	96725175	96744559	rev
chr1	98424724	98427383	64b96649-95d2-4715-8a78-4b1c9fa6f20c	98422921	98430340	fwd
chr1	113725817	113729575	6060e963-d832-41b0-a6e8-bde1281b1e57	113722164	113731478	rev
chr1	143203068	143207124	193bf75f-0e1c-44c6-8fca-408e237b3036	143200062	143221953	fwd
chr1	143212751	143217920	193bf75f-0e1c-44c6-8fca-408e237b3036	143200062	143221953	fwd
chr1	143222176	143223675	b69d0cf5-4f91-40ab-a5d2-2869483b9073	143211365	143223681	rev
chr1	143212230	143219793	2b6ba241-036b-44b3-a456-b022f57bd4da	143212223	143222285	rev
chr1	143217943	143219461	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd
chr1	143227345	143230045	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd
