chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction
chr1	797259	805272	c8ca2746-bda7-40f0-baec-3cada5bb9476	797254	805281	rev	8013	4699	2700	0.034605	0.827684	0.107962	0.723347	-3	left
chr1	2230033	2243181	f09ffc9b-680b-4b81-b166-e9738e69a601	2229985	2243188	fwd	13148	1268	6916	0.005848	0.815789	0.040445	0.771981	-3	left
chr1	3152756	3163251	1f333b3c-ce32-473a-9f3e-5b5e4060533e	3151053	3172735	rev	10495	3798	5232	0.018158	0.561608	0.002648	0.781995	-3	left
chr1	5164375	5175702	f43dd5e2-c54d-4bed-bb4e-b780e369f543	5164360	5178259	rev	11327	2777	6248	0.093617	0.550355	0.043505	0.705136	-3	left
chr1	5654184	5665810	fab4e0aa-7409-4a49-becb-bfaba0b71d15	5654175	5665967	fwd	11626	1065	9418	0.083333	0.491667	0.037699	0.808603	-3	left
chr1	7047036	7055602	6f6410b0-627f-44ff-a79c-d31d357979f5	7047030	7055606	rev	8566	3395	4680	0.020833	0.559295	0.011375	0.873837	-3	left
chr1	7329525	7343530	5cc4fe90-f6b1-445e-956f-1a15ab03fc35	7329510	7343543	rev	14005	4123	9545	0.041314	0.735169	0.050819	0.859303	-3	left
chr1	7504556	7517422	43b2a87b-c31f-4368-ad9c-47c62dd28b95	7504550	7533022	rev	12866	4952	4339	0	0.337696	0.011976	0.683633	-3	left
chr1	8219318	8230597	6fe08187-50f9-4f79-8830-3dc2342cc179	8210088	8242505	fwd	11279	3499	5629	0.001508	0.366516	0.011586	0.614772	0.349162	left
chr1	10148005	10167041	5101076a-545a-4ea0-a22a-961972d53d6d	10140611	10186282	rev	19036	4999	9717	0	0.642918	0.004448	0.819125	-3	left
chr1	11318634	11331188	f6735164-623d-460e-b0ad-0494c9edbc6c	11318629	11335929	fwd	12554	4501	4639	0.002885	0.503846	0.023011	0.748802	-3	left
chr1	11465710	11472956	989f5e68-ca8a-42d4-ad01-511deea88425	11464729	11474076	rev	7246	4343	1720	0.029463	0.660312	0.044619	0.637795	-3	left
chr1	15109123	15122562	0ff5e647-b146-4b71-acbd-a33a7f64fd49	15109118	15128563	rev	13439	4699	7314	0	0.481778	0.05594	0.653677	-3	left
chr1	18652269	18657696	81582bae-f94b-4a09-aaed-c1d1bb0b90ac	18652262	18657700	rev	5427	1500	2385	0.122549	0.789216	0.050435	0.848696	-3	left
chr1	19214628	19226043	46fac2fb-ff20-4186-8d9e-4c58005fc62c	19201766	19226067	fwd	11415	1005	6950	0	0.283843	0.008444	0.906514	0.126749	left
chr1	27000436	27009103	cb8c22fb-b199-42b5-b59a-a5a4840fd8fa	26993357	27024580	rev	8667	1217	7121	0	0.549645	0.02236	0.603106	-3	left
chr1	31572991	31580266	9f80eaa8-8b24-496f-86e2-48b4c644888e	31566453	31598839	rev	7275	2295	2641	0	0.336471	0.004399	0.697947	-3	left
chr1	39750513	39758875	a535ab8a-8557-4fc2-8cac-eafd5bab8175	39744406	39770722	rev	8362	4940	3014	0	0.349388	0	0.772727	-3	left
chr1	42558273	42582282	60fa8bbd-36d9-46f2-a3f8-32b32c2bf52b	42558269	42587932	fwd	24009	7359	11970	0	0.530551	0.037311	0.778824	-3	left
chr1	42945343	42957988	e1e6012f-3b0b-4ae1-9f5a-81e63870aada	42945336	42957994	fwd	12645	4565	5916	0.036157	0.711777	0.039751	0.787997	-3	left
chr1	44175243	44184246	0166e623-f789-4330-ae0f-1e2b7e089b87	44170504	44184261	rev	9003	1057	5003	0	0.826087	0	0.858391	-3	left
chr1	51402327	51409218	20c19516-000c-40d3-ac50-cd173013c8a2	51402310	51418448	rev	6891	3939	2371	0.006346	0.613781	0.038519	0.536296	-3	left
chr1	51496989	51509626	268e5a20-5b45-4891-adc9-0666b44a7e7d	51496440	51509632	rev	12637	1222	10177	0	0.950739	0.024496	0.893953	-3	left
chr1	52022315	52033457	f990bdf4-e0fd-42e5-ad1f-fa0dfaf1c041	52021356	52033478	rev	11142	2117	7975	0	0.868321	0.004255	0.913475	-3	left
chr1	54815280	54821918	25ad67c5-f4bc-4242-b305-19f9c836d5c9	54815275	54824867	rev	6638	1881	4648	0	0.404494	0.006557	0.820765	-3	left
chr1	63053254	63062608	a7c438e0-0b8f-4d23-92ff-3dc171761a2b	63052236	63062612	rev	9354	3059	5775	0.006593	0.659341	0.097011	0.440496	-3	left
chr1	64148668	64156613	da4b0532-03ba-450a-a9c4-61da071a0773	64148663	64162157	rev	7945	3865	3219	0.020495	0.609735	0.046229	0.572993	-3	left
chr1	64686682	64697368	430d04b0-527e-420c-8f4f-c68870cc6f9a	64685326	64698869	fwd	10686	4184	5937	0	0.630884	0.048378	0.833628	-3	left
chr1	67523468	67533092	16c202b5-6785-470f-949a-f69ff02d6f31	67523461	67539378	fwd	9624	4685	4617	0.003205	0.490385	0.03413	0.673208	-3	left
chr1	69290854	69305780	5237684a-8777-435d-9b29-a0fd57e5dd3f	69290845	69306700	fwd	14926	12617	1550	0.015586	0.644978	0.11087	0.673913	-3	left
chr1	73982736	73999274	6594b06e-0136-48d7-a1b3-bf3d9c79da18	73982541	74012614	fwd	16538	5058	8805	0.018006	0.317042	0.003947	0.798349	-3	left
chr1	84953627	84966890	c8ca37d2-c6bc-443e-b131-3bbbfb890115	84953618	84974952	rev	13263	4728	7346	0.024005	0.72428	0.032287	0.809865	-3	left
chr1	86702030	86716355	d9d072cc-8767-437b-95be-9cb4f6be58b3	86701891	86717132	rev	14325	5258	6300	0.000613	0.537423	0.033129	0.757055	-3	left
chr1	88294858	88297725	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	2867	511	1017	0	0.419355	0.02518	0.42446	-3	left
chr1	89327379	89334724	2a41d31a-f0ca-4634-a24e-d88295dc856b	89304517	89343662	rev	7345	4621	1712	0.000683	0.843686	0.088235	0.727554	-1	left
chr1	92202822	92209981	1be42edd-73ba-4528-b74b-b4c6d0de53eb	92202811	92219210	rev	7159	3320	3479	0	0.509091	0	0.706963	-3	left
chr1	94317355	94321986	d74fb123-5a26-4407-8f52-33092c37230a	94317349	94335509	rev	4631	2032	1778	0	0.368243	0.028283	0.652525	-3	left
chr1	97065303	97075295	a2229763-2726-4491-bfb7-a225aeda196a	97065297	97097739	fwd	9992	5248	4337	0	0.494769	0.004751	0.69042	-3	left
chr1	98119842	98126543	f1975cc5-46ed-4933-bafa-61b07441fc22	98119837	98129611	rev	6701	1533	1538	0.004866	0.827251	0.093182	0.690909	-3	left
chr1	99890583	99896219	dd706040-1fdd-4677-809e-b48e4118b133	99890577	99896225	fwd	5636	2532	2776	0.006402	0.878361	0.071032	0.781354	-3	left
chr1	102839003	102852087	c1945ad1-644b-4e0e-80b5-e2b3191c1ca7	102826119	102852091	rev	13084	1651	11159	0.011086	0.838137	0.005493	0.897378	-2	left
chr1	103419780	103449885	a7b804c2-2071-4113-8d05-f5f49438d307	103398907	103464163	rev	30105	3065	26116	0.010638	0.730496	0.018326	0.645033	0.282911	left
chr1	109146727	109162740	6ee38348-62a2-4e8b-8990-54fea105efb2	109141127	109171799	fwd	16013	7468	6882	0.002931	0.454323	0.023902	0.685937	-3	left
chr1	116194319	116201273	035317d1-69fc-42dc-9b7c-26b6b67771e0	116194313	116206952	rev	6954	3277	1602	0	0.740189	0.035714	0.676339	-3	left
chr1	117040148	117050986	dfb4fb20-0f42-4d97-871b-22b95875b3c0	117039592	117064841	fwd	10838	2171	8048	0.050328	0.345733	0.004494	0.838202	-3	left
chr1	124942969	124959853	522ea325-9b57-48ff-8a25-be226e792b60	124932825	124959859	fwd	16884	3522	9605	0.012832	0.776352	0.009814	0.798985	0.161105	left
chr1	143188071	143205414	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	17343	614	16729	0	0.666667	0.012422	0.739389	-3	left
chr1	143210602	143227344	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	16742	9407	4573	0.004501	0.653028	0.01227	0.763804	-1	left
chr1	143194677	143200293	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd	5616	607	4911	0.163043	0.130435	0	0.551111	-3	left
chr1	143212250	143224122	737b8753-1774-41b3-9db6-335084da4594	143212234	143224129	fwd	11872	2488	8449	0.002151	0.88172	0.00612	0.936353	-3	left
chr1	143725009	143731497	5841b805-7f92-4218-8245-fedbdf947ebc	143724973	143743544	rev	6488	1500	4317	0	0.261845	0.003364	0.502103	-3	left
chr1	150179785	150186382	e69ed1d7-f589-412a-b838-35d5210610d6	150179681	150223433	fwd	6597	3225	2043	0	0.538945	0.017928	0.563745	-3	left
