chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	stall_score	fork_direction
chr1	797259	805272	c8ca2746-bda7-40f0-baec-3cada5bb9476	797254	805281	rev	7948	-3	left
chr1	2230033	2243181	f09ffc9b-680b-4b81-b166-e9738e69a601	2229985	2243188	fwd	13052	-3	left
chr1	3152756	3163251	1f333b3c-ce32-473a-9f3e-5b5e4060533e	3151053	3172735	rev	10879	-3	left
chr1	5164375	5175702	f43dd5e2-c54d-4bed-bb4e-b780e369f543	5164360	5178259	rev	11293	-3	left
chr1	5654184	5665810	fab4e0aa-7409-4a49-becb-bfaba0b71d15	5654175	5665967	fwd	11578	-3	left
chr1	7047036	7055602	6f6410b0-627f-44ff-a79c-d31d357979f5	7047030	7055606	rev	8544	-3	left
chr1	7329525	7343530	5cc4fe90-f6b1-445e-956f-1a15ab03fc35	7329510	7343543	rev	14028	-3	left
chr1	7504556	7517422	43b2a87b-c31f-4368-ad9c-47c62dd28b95	7504550	7533022	rev	12830	-3	left
chr1	8219318	8230597	6fe08187-50f9-4f79-8830-3dc2342cc179	8210088	8242505	fwd	11241	0.349162	left
chr1	10148005	10167041	5101076a-545a-4ea0-a22a-961972d53d6d	10140611	10186282	rev	18967	-3	left
chr1	11318634	11331188	f6735164-623d-460e-b0ad-0494c9edbc6c	11318629	11335929	fwd	12544	-3	left
chr1	11465710	11472956	989f5e68-ca8a-42d4-ad01-511deea88425	11464729	11474076	rev	7230	-3	left
chr1	15109123	15122562	0ff5e647-b146-4b71-acbd-a33a7f64fd49	15109118	15128563	rev	13501	-3	left
chr1	18652269	18657696	81582bae-f94b-4a09-aaed-c1d1bb0b90ac	18652262	18657700	rev	5383	-3	left
chr1	19214628	19226043	46fac2fb-ff20-4186-8d9e-4c58005fc62c	19201766	19226067	fwd	11413	0.126749	left
chr1	27000436	27009103	cb8c22fb-b199-42b5-b59a-a5a4840fd8fa	26993357	27024580	rev	8619	-3	left
chr1	31572991	31580266	9f80eaa8-8b24-496f-86e2-48b4c644888e	31566453	31598839	rev	7269	-3	left
chr1	39750513	39758875	a535ab8a-8557-4fc2-8cac-eafd5bab8175	39744406	39770722	rev	8338	-3	left
chr1	42558273	42582282	60fa8bbd-36d9-46f2-a3f8-32b32c2bf52b	42558269	42587932	fwd	23993	-3	left
chr1	42945343	42957988	e1e6012f-3b0b-4ae1-9f5a-81e63870aada	42945336	42957994	fwd	12658	-3	left
chr1	44175243	44184246	0166e623-f789-4330-ae0f-1e2b7e089b87	44170504	44184261	rev	8985	-3	left
chr1	51402327	51409218	20c19516-000c-40d3-ac50-cd173013c8a2	51402310	51418448	rev	6804	-3	left
chr1	51496989	51509626	268e5a20-5b45-4891-adc9-0666b44a7e7d	51496440	51509632	rev	12555	-3	left
chr1	52022315	52033457	f990bdf4-e0fd-42e5-ad1f-fa0dfaf1c041	52021356	52033478	rev	11087	-3	left
chr1	54815280	54821918	25ad67c5-f4bc-4242-b305-19f9c836d5c9	54815275	54824867	rev	6611	-3	left
chr1	63053254	63062608	a7c438e0-0b8f-4d23-92ff-3dc171761a2b	63052236	63062612	rev	9355	-3	left
chr1	64148668	64156613	da4b0532-03ba-450a-a9c4-61da071a0773	64148663	64162157	rev	7836	-3	left
chr1	64686682	64697368	430d04b0-527e-420c-8f4f-c68870cc6f9a	64685326	64698869	fwd	10679	-3	left
chr1	67523468	67533092	16c202b5-6785-470f-949a-f69ff02d6f31	67523461	67539378	fwd	9587	-3	left
chr1	69290854	69305780	5237684a-8777-435d-9b29-a0fd57e5dd3f	69290845	69306700	fwd	14846	-3	left
chr1	73982736	73999274	6594b06e-0136-48d7-a1b3-bf3d9c79da18	73982541	74012614	fwd	16470	-3	left
chr1	84953627	84966890	c8ca37d2-c6bc-443e-b131-3bbbfb890115	84953618	84974952	rev	13129	-3	left
chr1	86702030	86716355	d9d072cc-8767-437b-95be-9cb4f6be58b3	86701891	86717132	rev	14256	-3	left
chr1	88294858	88297725	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	2836	-3	left
