sample	chromosome	EdU_bp	BrdU_bp	total_analogue_bp
OV3_Cisp0	chr1	586949	19656616934	19657203883
OV3_Cisp0	chr2	533566	17910102014	17910635580
OV3_Cisp0	chr3	623018	18567460937	18568083955
OV3_Cisp0	chr4	424677	11652729750	11653154427
OV3_Cisp0	chr5	461486	9820265270	9820726756
OV3_Cisp0	chr6	356109	8041265219	8041621328
OV3_Cisp0	chr7	274860	6454330787	6454605647
OV3_Cisp0	chr8	400470	8374099800	8374500270
OV3_Cisp0	chr9	260416	5630632819	5630893235
OV3_Cisp0	chr10	319923	6101794915	6102114838
OV3_Cisp0	chr11	422469	7187902697	7188325166
OV3_Cisp0	chr12	279701	4736243015	4736522716
OV3_Cisp0	chr13	123603	2643397744	2643521347
OV3_Cisp0	chr14	217616	3991472815	3991690431
OV3_Cisp0	chr15	180673	3020953278	3021133951
OV3_Cisp0	chr16	175307	2283880998	2284056305
OV3_Cisp0	chr17	234223	2785615252	2785849475
OV3_Cisp0	chr18	130467	791473407	791603874
OV3_Cisp0	chr19	142413	1593167349	1593309762
OV3_Cisp0	chr20	192927	1995078731	1995271658
OV3_Cisp0	chr21	134540	1112006563	1112141103
OV3_Cisp0	chr22	73074	670558871	670631945
OV3_Cisp0	chrX	271726	5943996152	5944267878
OV3_Cisp0	chrY	11435	227284043	227295478
OV3_Cisp1_masked	chr1	25832	1308381458	1308407290
OV3_Cisp1_masked	chr2	34475	1774351913	1774386388
OV3_Cisp1_masked	chr3	37050	1839354700	1839391750
OV3_Cisp1_masked	chr4	39693	1055681676	1055721369
OV3_Cisp1_masked	chr5	23979	907365876	907389855
OV3_Cisp1_masked	chr6	11126	523958391	523969517
OV3_Cisp1_masked	chr7	31733	844284327	844316060
OV3_Cisp1_masked	chr8	24012	679811983	679835995
OV3_Cisp1_masked	chr9	17244	503828241	503845485
OV3_Cisp1_masked	chr10	12912	375673914	375686826
OV3_Cisp1_masked	chr11	16056	536782770	536798826
OV3_Cisp1_masked	chr12	17192	339157749	339174941
OV3_Cisp1_masked	chr13	14049	348866929	348880978
OV3_Cisp1_masked	chr14	4895	102795032	102799927
OV3_Cisp1_masked	chr15	2418	112403467	112405885
OV3_Cisp1_masked	chr16	1756	59966802	59968558
OV3_Cisp1_masked	chr17	15125	294700704	294715829
OV3_Cisp1_masked	chr18	2208	3517518	3519726
OV3_Cisp1_masked	chr20	58671	791818295	791876966
OV3_Cisp1_masked	chr21	4838	16021379	16026217
OV3_Cisp1_masked	chr22	6088	68863357	68869445
OV3_Cisp1_masked	chrX	9852	430213315	430223167
OV3_Cisp1_masked	chrY	1276	56868586	56869862
UWB_Cisp0	chr1	453667	21097792676	21098246343
UWB_Cisp0	chr2	409781	21402177600	21402587381
UWB_Cisp0	chr3	373465	17851136557	17851510022
UWB_Cisp0	chr4	211683	7640852287	7641063970
UWB_Cisp0	chr5	269019	9359279348	9359548367
UWB_Cisp0	chr6	236075	7401690550	7401926625
UWB_Cisp0	chr7	245372	9667581678	9667827050
UWB_Cisp0	chr8	239927	8931722638	8931962565
UWB_Cisp0	chr9	107016	4123915821	4124022837
UWB_Cisp0	chr10	183578	4293739904	4293923482
UWB_Cisp0	chr11	179223	6183849125	6184028348
UWB_Cisp0	chr12	186529	5774014490	5774201019
UWB_Cisp0	chr13	122594	2952151667	2952274261
UWB_Cisp0	chr14	96150	2283927130	2284023280
UWB_Cisp0	chr15	96872	2902886952	2902983824
UWB_Cisp0	chr16	228043	3306616263	3306844306
UWB_Cisp0	chr17	79883	1428330776	1428410659
UWB_Cisp0	chr18	72702	1205991245	1206063947
UWB_Cisp0	chr19	73954	949806132	949880086
UWB_Cisp0	chr20	136828	2133071337	2133208165
UWB_Cisp0	chr21	43341	401311633	401354974
UWB_Cisp0	chr22	50396	622522156	622572552
UWB_Cisp0	chrX	122161	3775799963	3775922124
UWB_Cisp0	chrY	7937	68147419	68155356
UWB_Cisp1	chr1	116233	5490287813	5490404046
UWB_Cisp1	chr2	64347	3550513656	3550578003
UWB_Cisp1	chr3	105696	5230980849	5231086545
UWB_Cisp1	chr4	63477	2244417944	2244481421
UWB_Cisp1	chr5	40810	1654453829	1654494639
UWB_Cisp1	chr6	30912	1588936821	1588967733
UWB_Cisp1	chr7	47544	1416532814	1416580358
UWB_Cisp1	chr8	36366	1548907945	1548944311
UWB_Cisp1	chr9	26305	1139979486	1140005791
UWB_Cisp1	chr10	109063	2092506546	2092615609
UWB_Cisp1	chr11	23108	941821021	941844129
UWB_Cisp1	chr12	32362	602845746	602878108
UWB_Cisp1	chr13	15821	350183143	350198964
UWB_Cisp1	chr14	23946	611849660	611873606
UWB_Cisp1	chr15	37034	1031813668	1031850702
UWB_Cisp1	chr16	71969	1136773536	1136845505
UWB_Cisp1	chr17	21823	383990500	384012323
UWB_Cisp1	chr18	28802	357967141	357995943
UWB_Cisp1	chr19	8205	151887238	151895443
UWB_Cisp1	chr20	50127	761095009	761145136
UWB_Cisp1	chr21	18425	106183285	106201710
UWB_Cisp1	chr22	12336	77770244	77782580
UWB_Cisp1	chrX	24150	1005900803	1005924953
UWB_Cisp1	chrY	2606	56828035	56830641
