chrom	n_gaps	interrogated_Mb	gaps_per_Mb	median_gap_len	mean_gap_len	n_EdU_negative_EdU	n_BrdU_negative_BrdU	n_EdU_BrdU_EdU
chr1	26823	2345.035	11.44	360	435	18767	5576	2480
chr2	16852	2331.206	7.23	375	443	12306	3315	1231
chr3	15249	2126.902	7.17	382	448	11297	2714	1238
chr4	10848	1232.631	8.80	354	427	7294	2132	1422
chr5	10449	1304.314	8.01	353	431	7246	1985	1218
chr6	8272	1212.648	6.82	388	451	6045	1617	610
chr7	9103	1291.237	7.05	386	452	6774	1697	632
chr8	9134	1392.823	6.56	388	454	6943	1638	553
chr9	5745	830.041	6.92	399	457	4280	1012	453
chr10	13995	1081.589	12.94	332	413	8832	2839	2324
chr11	8468	1215.110	6.97	390	452	6159	1707	602
chr12	7920	1112.133	7.12	372	444	5961	1428	531
chr13	4266	662.167	6.44	365	441	3139	807	320
chr14	4394	641.035	6.85	384	452	3225	851	318
chr15	3879	542.123	7.16	369	441	2830	743	306
chr16	39224	668.014	58.72	312	396	28742	3757	6725
chr17	5047	571.048	8.84	380	445	3608	1011	428
chr18	3079	456.073	6.75	374	449	2323	512	244
chr19	3315	470.312	7.05	390	459	2515	594	206
chr20	9148	662.332	13.81	325	411	5702	1716	1730
chr21	4686	264.341	17.73	367	437	3143	1000	543
chr22	2650	225.877	11.73	385	453	2125	370	155
chrX	4877	660.475	7.38	378	442	3640	946	291
chrY	4523	7.554	598.77	333	418	3769	186	568
