chromosome	BrdU_start	BrdU_end	readID	read_start	read_end	strand	sample
chr1	797259	799959	c8ca2746-bda7-40f0-baec-3cada5bb9476	797254	805281	rev	OV3_Cisp0
chr1	1613653	1619882	c13e6cf5-daba-4f36-8443-c9449cdd381c	1602766	1625023	rev	OV3_Cisp0
chr1	1826729	1828022	79f26a37-e96d-4329-9705-89dd37489e36	1814662	1828028	fwd	OV3_Cisp0
chr1	2230033	2236949	f09ffc9b-680b-4b81-b166-e9738e69a601	2229985	2243188	fwd	OV3_Cisp0
chr1	3152756	3157988	1f333b3c-ce32-473a-9f3e-5b5e4060533e	3151053	3172735	rev	OV3_Cisp0
chr1	3574546	3579302	ed3f1452-da07-42ce-bdcf-8fd59367a882	3570057	3594887	rev	OV3_Cisp0
chr1	5164375	5170623	f43dd5e2-c54d-4bed-bb4e-b780e369f543	5164360	5178259	rev	OV3_Cisp0
chr1	5654184	5663602	fab4e0aa-7409-4a49-becb-bfaba0b71d15	5654175	5665967	fwd	OV3_Cisp0
chr1	7047036	7051716	6f6410b0-627f-44ff-a79c-d31d357979f5	7047030	7055606	rev	OV3_Cisp0
chr1	7329525	7339070	5cc4fe90-f6b1-445e-956f-1a15ab03fc35	7329510	7343543	rev	OV3_Cisp0
chr1	7504556	7508895	43b2a87b-c31f-4368-ad9c-47c62dd28b95	7504550	7533022	rev	OV3_Cisp0
chr1	7683567	7689209	f851ded5-cabf-4e60-a7b5-a7d8ff26fbb1	7673769	7691623	fwd	OV3_Cisp0
chr1	8219318	8224947	6fe08187-50f9-4f79-8830-3dc2342cc179	8210088	8242505	fwd	OV3_Cisp0
chr1	10148005	10157722	5101076a-545a-4ea0-a22a-961972d53d6d	10140611	10186282	rev	OV3_Cisp0
chr1	10796931	10799676	84752334-860b-443e-85f1-52abdcc06b08	10783106	10799683	fwd	OV3_Cisp0
chr1	11318634	11323273	f6735164-623d-460e-b0ad-0494c9edbc6c	11318629	11335929	fwd	OV3_Cisp0
chr1	11465710	11467430	989f5e68-ca8a-42d4-ad01-511deea88425	11464729	11474076	rev	OV3_Cisp0
chr1	12719120	12729507	313cb74c-525e-457a-84ae-d1070c18b2dd	12713892	12759351	rev	OV3_Cisp0
chr1	14074259	14078957	00bd382c-621f-437b-8813-ab65616d1598	14066596	14078962	rev	OV3_Cisp0
chr1	14074192	14080283	26122746-39a8-46c1-b35a-81d642b15fc5	14067518	14080287	rev	OV3_Cisp0
chr1	14910745	14919056	654bf027-9f7a-4db6-8da7-e5941d41f8d6	14902667	14941167	fwd	OV3_Cisp0
chr1	15109123	15116437	0ff5e647-b146-4b71-acbd-a33a7f64fd49	15109118	15128563	rev	OV3_Cisp0
chr1	17005849	17010750	6cee407c-61b5-4e61-aead-5f0d57171745	16990761	17011390	fwd	OV3_Cisp0
chr1	18652269	18654654	81582bae-f94b-4a09-aaed-c1d1bb0b90ac	18652262	18657700	rev	OV3_Cisp0
chr1	19214628	19221578	46fac2fb-ff20-4186-8d9e-4c58005fc62c	19201766	19226067	fwd	OV3_Cisp0
chr1	23802251	23809045	c5603d82-38ab-4eb3-bb33-2a5b91b02713	23774098	23827102	fwd	OV3_Cisp0
chr1	27000436	27007557	cb8c22fb-b199-42b5-b59a-a5a4840fd8fa	26993357	27024580	rev	OV3_Cisp0
chr1	31572991	31575632	9f80eaa8-8b24-496f-86e2-48b4c644888e	31566453	31598839	rev	OV3_Cisp0
chr1	36353746	36360371	07677a27-a5a4-4ab8-86f1-de620dad39b8	36335147	36364385	fwd	OV3_Cisp0
chr1	36630209	36637511	a6f6e423-cf2f-4d3f-b654-8b40d2778b31	36590560	36637959	rev	OV3_Cisp0
chr1	37024090	37032104	a6e6b912-8645-4f59-bc58-93acc1fd9bbc	37016625	37032110	rev	OV3_Cisp0
chr1	38193344	38206426	d5647b50-efa1-46a6-85de-29c6b3f310e0	38176975	38223666	fwd	OV3_Cisp0
chr1	39750513	39753527	a535ab8a-8557-4fc2-8cac-eafd5bab8175	39744406	39770722	rev	OV3_Cisp0
chr1	42397090	42398484	d0a19ba2-2f31-41c8-ab1a-bec8b78290fc	42372677	42398488	rev	OV3_Cisp0
chr1	42455940	42458395	5eef0051-192d-4551-bf52-65ca256b8a37	42440506	42458399	rev	OV3_Cisp0
chr1	42558273	42570243	60fa8bbd-36d9-46f2-a3f8-32b32c2bf52b	42558269	42587932	fwd	OV3_Cisp0
chr1	42945343	42951259	e1e6012f-3b0b-4ae1-9f5a-81e63870aada	42945336	42957994	fwd	OV3_Cisp0
chr1	44175243	44180246	0166e623-f789-4330-ae0f-1e2b7e089b87	44170504	44184261	rev	OV3_Cisp0
chr1	45459677	45463523	4aff019e-f010-4678-ae11-494a007ca891	45455355	45463530	rev	OV3_Cisp0
chr1	46051725	46069853	c3a2b841-01ad-4733-b5db-879d1d872a2a	46045154	46078088	fwd	OV3_Cisp0
chr1	46371758	46372930	401c7ea3-5261-47da-86f5-65264da790e1	46368560	46381061	rev	OV3_Cisp0
chr1	51402327	51404698	20c19516-000c-40d3-ac50-cd173013c8a2	51402310	51418448	rev	OV3_Cisp0
chr1	51496989	51507166	268e5a20-5b45-4891-adc9-0666b44a7e7d	51496440	51509632	rev	OV3_Cisp0
chr1	52022315	52030290	f990bdf4-e0fd-42e5-ad1f-fa0dfaf1c041	52021356	52033478	rev	OV3_Cisp0
chr1	54815280	54819928	25ad67c5-f4bc-4242-b305-19f9c836d5c9	54815275	54824867	rev	OV3_Cisp0
chr1	55491375	55504315	bf3ae35c-047d-4088-bc20-d5effb386784	55489943	55517053	rev	OV3_Cisp0
chr1	57146290	57154031	c7a18de0-128e-4c12-b564-a4fde8f17e15	57112731	57170248	rev	OV3_Cisp0
chr1	57472764	57480149	01c6882c-ff64-4773-8329-0147cff4e6e2	57464739	57480885	fwd	OV3_Cisp0
chr1	61669447	61671560	a256497b-7300-4018-a65a-6de2a46392a0	61656253	61671565	rev	OV3_Cisp0
chr1	62749786	62753097	e626f5a2-0083-472d-8119-8fa4d6d2fdcf	62740212	62753103	fwd	OV3_Cisp0
chr1	63053254	63059029	a7c438e0-0b8f-4d23-92ff-3dc171761a2b	63052236	63062612	rev	OV3_Cisp0
chr1	64148668	64151887	da4b0532-03ba-450a-a9c4-61da071a0773	64148663	64162157	rev	OV3_Cisp0
chr1	64686682	64692619	430d04b0-527e-420c-8f4f-c68870cc6f9a	64685326	64698869	fwd	OV3_Cisp0
chr1	67523468	67528085	16c202b5-6785-470f-949a-f69ff02d6f31	67523461	67539378	fwd	OV3_Cisp0
chr1	69290854	69292404	5237684a-8777-435d-9b29-a0fd57e5dd3f	69290845	69306700	fwd	OV3_Cisp0
chr1	70238130	70240284	8880549d-56c5-4685-b9c5-b923a29e4847	70222403	70240292	rev	OV3_Cisp0
chr1	70709619	70712881	e7a916e5-d9b5-4238-810e-948ea9f95841	70703347	70712887	rev	OV3_Cisp0
chr1	71973773	71978656	ff249c46-b8e0-4490-93ff-099a89436acd	71956684	71980118	fwd	OV3_Cisp0
chr1	72860103	72864152	7441a335-5a92-44a4-9624-baa90fa9e259	72800712	72864286	rev	OV3_Cisp0
chr1	72889810	72898985	547b58a1-5538-40d1-82d1-5a3ad554ad40	72872559	72898989	rev	OV3_Cisp0
chr1	73086080	73096323	8ca949f3-6cd2-4c93-a206-5093aa4da140	73081139	73096333	fwd	OV3_Cisp0
chr1	73385890	73391890	e6607ca7-c5bd-44a4-9587-dee9ab7549a3	73376057	73391895	fwd	OV3_Cisp0
chr1	73483297	73492698	ccc75ac2-0bd8-4486-a96c-d99b8554a26d	73479671	73492703	fwd	OV3_Cisp0
chr1	73982736	73991541	6594b06e-0136-48d7-a1b3-bf3d9c79da18	73982541	74012614	fwd	OV3_Cisp0
chr1	81667005	81676495	bbda9126-10aa-4fec-bcf5-e5ff9a7d42e9	81657708	81691382	fwd	OV3_Cisp0
chr1	81864280	81865856	8a4210a4-7786-4ce5-8e05-554d6405ba07	81854514	81866387	rev	OV3_Cisp0
chr1	82189963	82203162	b9564b7f-da90-4e41-861f-efae6fe00650	82185873	82203762	rev	OV3_Cisp0
chr1	82300280	82330176	f87d67d6-9306-4e44-b8d7-362df11da32d	82292928	82330180	rev	OV3_Cisp0
chr1	84595101	84598202	4875d11e-5af6-479e-808b-14a4a8061839	84580590	84606840	fwd	OV3_Cisp0
chr1	84953627	84960973	c8ca37d2-c6bc-443e-b131-3bbbfb890115	84953618	84974952	rev	OV3_Cisp0
chr1	86702030	86708330	d9d072cc-8767-437b-95be-9cb4f6be58b3	86701891	86717132	rev	OV3_Cisp0
chr1	88294858	88295875	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	OV3_Cisp0
chr1	88300194	88306218	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	OV3_Cisp0
chr1	89325668	89329091	2a41d31a-f0ca-4634-a24e-d88295dc856b	89304517	89343662	rev	OV3_Cisp0
chr1	89924937	89929276	21701874-5780-4bc8-88b7-ec5defa1ce38	89908559	89929282	fwd	OV3_Cisp0
chr1	90942595	90948729	9d7bd256-288d-4026-aa6d-c09aab0e12ab	90934316	90948734	fwd	OV3_Cisp0
chr1	92202822	92206301	1be42edd-73ba-4528-b74b-b4c6d0de53eb	92202811	92219210	rev	OV3_Cisp0
chr1	94317355	94319133	d74fb123-5a26-4407-8f52-33092c37230a	94317349	94335509	rev	OV3_Cisp0
chr1	95503330	95518322	2e3d832a-0da0-47da-b124-6c7e972926f7	95488353	95520366	rev	OV3_Cisp0
chr1	97065303	97069640	a2229763-2726-4491-bfb7-a225aeda196a	97065297	97097739	fwd	OV3_Cisp0
chr1	98119842	98121380	f1975cc5-46ed-4933-bafa-61b07441fc22	98119837	98129611	rev	OV3_Cisp0
chr1	99890583	99893359	dd706040-1fdd-4677-809e-b48e4118b133	99890577	99896225	fwd	OV3_Cisp0
chr1	99974254	99979673	2c7efd76-d89b-4c93-8f39-9b7012ea2861	99964123	99979678	fwd	OV3_Cisp0
chr1	101237619	101247638	c2eeae7f-d209-4edf-be63-6b2605c81b6b	101206567	101274347	fwd	OV3_Cisp0
chr1	101404055	101415172	ec13a807-16e0-490b-b9bf-e050e7d5e808	101398452	101415281	fwd	OV3_Cisp0
chr1	102140473	102141703	7d66984c-f572-4f3b-bd26-c79b0bef6a84	102129013	102141712	fwd	OV3_Cisp0
chr1	102839003	102850162	c1945ad1-644b-4e0e-80b5-e2b3191c1ca7	102826119	102852091	rev	OV3_Cisp0
chr1	103406619	103415485	a7b804c2-2071-4113-8d05-f5f49438d307	103398907	103464163	rev	OV3_Cisp0
chr1	103419780	103445896	a7b804c2-2071-4113-8d05-f5f49438d307	103398907	103464163	rev	OV3_Cisp0
chr1	109146727	109153609	6ee38348-62a2-4e8b-8990-54fea105efb2	109141127	109171799	fwd	OV3_Cisp0
chr1	114041659	114046109	aabcbab4-e06b-41a7-ac40-c011d1245e9e	114024217	114046116	fwd	OV3_Cisp0
chr1	116194319	116195921	035317d1-69fc-42dc-9b7c-26b6b67771e0	116194313	116206952	rev	OV3_Cisp0
chr1	117040148	117048196	dfb4fb20-0f42-4d97-871b-22b95875b3c0	117039592	117064841	fwd	OV3_Cisp0
chr1	121132199	121135537	a4f02b2b-d7fd-4be4-95a2-6d244a0278ba	121129935	121135545	fwd	OV3_Cisp0
chr1	124942969	124952574	522ea325-9b57-48ff-8a25-be226e792b60	124932825	124959859	fwd	OV3_Cisp0
chr1	143268965	143270376	e72c92c7-688b-4558-9ac9-f986a5f0e40b	143184587	143272185	fwd	OV3_Cisp0
chr1	143188071	143204800	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	OV3_Cisp0
chr1	143206029	143215175	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	OV3_Cisp0
chr1	143226146	143227355	96f54afa-984e-47d3-9396-960b62a9099c	143184989	143240209	fwd	OV3_Cisp0
chr1	143194677	143199588	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd	OV3_Cisp0
chr1	143202743	143206039	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd	OV3_Cisp0
chr1	143218852	143220723	0b525f6a-4aea-4f32-a4b8-b0d3776b35fd	143199118	143220930	fwd	OV3_Cisp0
chr1	143215965	143217138	23a937cf-8ffd-4784-8990-9bdb3cdb190d	143211586	143228736	rev	OV3_Cisp0
chr1	143212250	143220699	737b8753-1774-41b3-9db6-335084da4594	143212234	143224129	fwd	OV3_Cisp0
chr1	143725009	143729326	5841b805-7f92-4218-8245-fedbdf947ebc	143724973	143743544	rev	OV3_Cisp0
chr1	150179785	150181828	e69ed1d7-f589-412a-b838-35d5210610d6	150179681	150223433	fwd	OV3_Cisp0
chr1	150800348	150801397	dd8b13d1-9ada-4f49-8d31-40881185e579	150771814	150801403	fwd	OV3_Cisp0
chr1	153113897	153133943	32278e75-4d8a-420c-9615-5f09e94faf6d	153113886	153144286	rev	OV3_Cisp0
chr1	156138583	156139727	ab27d203-6436-416b-abee-b73fab38f9fd	156129949	156171390	fwd	OV3_Cisp0
chr1	156144265	156148329	ab27d203-6436-416b-abee-b73fab38f9fd	156129949	156171390	fwd	OV3_Cisp0
chr1	157190996	157195183	c04a2616-8907-43bf-bd8a-8134019e6bf4	157185127	157195187	rev	OV3_Cisp0
chr1	157924069	157940975	bd3601d6-5047-4597-95c1-6eeb94f7f052	157915180	157959328	rev	OV3_Cisp0
chr1	158112791	158119389	83890de9-3046-40aa-b18f-efde27e4af66	158110344	158124107	rev	OV3_Cisp0
chr1	159879240	159900583	6c85a0ff-27d0-4012-a38e-fc6efa7d1104	159871807	159903894	fwd	OV3_Cisp0
chr1	159916522	159922294	36a35e32-b749-4249-b28f-97b8164c2e26	159916518	159933921	fwd	OV3_Cisp0
chr1	160456648	160460330	5c639df6-073b-4b29-b995-05c99b97f36e	160448514	160460336	rev	OV3_Cisp0
chr1	161620019	161621660	78b626a3-e3a8-4660-a83e-c6f5fbb00c95	161617163	161651406	rev	OV3_Cisp0
chr1	164424957	164437202	198482b3-a4cc-4336-979a-d10881901c94	164419285	164459448	rev	OV3_Cisp0
chr1	167705081	167706464	a54b8581-ebe3-4e94-bf6e-8fb79029952a	167705075	167725251	rev	OV3_Cisp0
chr1	167754161	167767224	7db63e2b-68fb-45b4-86b3-7041b8962e40	167732157	167767890	fwd	OV3_Cisp0
chr1	168120383	168133507	564941ec-f77f-4de6-9349-1d03cbb81d40	168115604	168138520	rev	OV3_Cisp0
chr1	168159805	168161317	6ec71b8c-6861-479a-b227-43f83e1c492e	168159801	168167102	fwd	OV3_Cisp0
chr1	170543775	170548355	bca54037-3aaf-4cc1-8335-bfc0a9349979	170535583	170548360	rev	OV3_Cisp0
chr1	171901457	171904479	32eecd21-f1c9-4c04-b60a-390421aa6026	171887237	171904486	fwd	OV3_Cisp0
chr1	172352902	172369446	275e3c7c-7a7f-4fa4-b035-6a504f6681bd	172349533	172371503	rev	OV3_Cisp0
chr1	174832877	174841686	f7aa2d42-c7c8-43aa-a1ee-a73f5a074650	174827086	174841692	fwd	OV3_Cisp0
chr1	176859375	176876889	e782259f-5360-42c2-ae1e-746367e36b22	176853213	176884941	fwd	OV3_Cisp0
chr1	177330247	177333192	996fe63e-9f0d-43f0-85a6-648141a4fe78	177312582	177333196	rev	OV3_Cisp0
chr1	177890945	177896100	33ad1fba-03b3-4736-b3e0-541aced5646a	177890937	177904943	fwd	OV3_Cisp0
chr1	177953472	177958336	6c94e4a7-a7f1-41bd-ae94-470f126727fb	177951927	177966294	fwd	OV3_Cisp0
chr1	179358130	179365637	8cc92cb3-3959-48fa-8f54-6c9b35bd01af	179332691	179366989	rev	OV3_Cisp0
chr1	183357649	183362043	435fd5f6-2160-4601-b220-c81e5551499a	183336727	183362050	rev	OV3_Cisp0
chr1	184732272	184741726	977aa037-e8e3-43ec-a33a-336abd31c1fb	184727368	184755527	rev	OV3_Cisp0
chr1	185015930	185019980	02795b09-45ba-4519-af44-557dbc20b0b6	185015925	185034804	rev	OV3_Cisp0
chr1	186766824	186776068	aac8a59a-ffbf-4560-8a45-4e646fb48b6c	186764419	186776082	rev	OV3_Cisp0
chr1	187033381	187036018	dbe7197d-1952-4367-8a40-3ed4a09deb3c	187017191	187036028	fwd	OV3_Cisp0
chr1	191011780	191016715	b7624c87-b3a1-4561-825e-7439ef6a8341	191011776	191029182	fwd	OV3_Cisp0
chr1	191736410	191746693	fe52632f-630b-4817-b103-d5d272c55fe4	191734333	191749410	fwd	OV3_Cisp0
chr1	192080656	192083134	9de067d0-7f23-470a-90fb-111c17098516	192079223	192100634	rev	OV3_Cisp0
chr1	192306259	192307334	e0a186f5-1dbf-43e7-9063-8090e76086f2	192306255	192318830	fwd	OV3_Cisp0
chr1	192764241	192778344	c0252a52-9de6-4035-b41b-ab5f29fa07eb	192764231	192782707	fwd	OV3_Cisp0
chr1	196063250	196078960	f712c44e-22b4-4095-9848-5fdcded7708e	196056424	196090326	rev	OV3_Cisp0
chr1	197229167	197236325	c5fc7d9c-0880-4f82-908f-247410b69dd5	197224859	197248049	rev	OV3_Cisp0
chr1	201099375	201102415	05ab2e1f-9922-48e2-bc43-d57708f7bb8e	201096756	201102425	rev	OV3_Cisp0
chr1	202802351	202806957	6adde54c-f193-4c92-a56c-3d696a0fb59c	202802338	202814508	rev	OV3_Cisp0
chr1	205991950	206004671	ab106566-81eb-4ee5-9037-1525b9606632	205990100	206009357	rev	OV3_Cisp0
chr1	207601595	207604097	907118b5-f62b-42cc-930d-58091c7e0557	207600347	207626111	rev	OV3_Cisp0
chr1	209539640	209554701	7abea679-ebc5-4f7d-9012-cf8a1fb62832	209536704	209563174	rev	OV3_Cisp0
chr1	210234149	210235277	be902237-8e00-45c9-9682-90b2b09a95ca	210222190	210235291	fwd	OV3_Cisp0
chr1	211660300	211666720	f36ee34a-b2bc-4014-8ee5-bc2c734b5270	211652889	211667635	rev	OV3_Cisp0
chr1	212383020	212388730	e2e411b4-4ce9-4d33-9cc0-f8dfcf53b611	212380547	212388738	fwd	OV3_Cisp0
chr1	213192374	213194969	277c50b0-43ed-4738-bfe8-4835d9a3689d	213164930	213207600	rev	OV3_Cisp0
chr1	215267288	215275367	a87cfe11-7a3b-40af-bce8-497c560edb1c	215258259	215275377	fwd	OV3_Cisp0
chr1	219038982	219047477	864dd8fc-f11f-427c-9adb-ac28574e6c71	219038975	219053697	rev	OV3_Cisp0
chr1	221062480	221067352	fcdd787b-3ccd-4101-b400-f628ecf28068	221056165	221067356	rev	OV3_Cisp0
chr1	223479633	223480838	a37dcbba-45bd-4a77-80d3-5dae45a65f2c	223461031	223484394	fwd	OV3_Cisp0
chr1	225160244	225166874	2f2fc87e-a428-4d32-9e02-ebc73693290a	225159066	225180662	rev	OV3_Cisp0
chr1	226110921	226113858	008f8314-96ef-4bd8-87ed-87c5f6092f1c	226104359	226113864	rev	OV3_Cisp0
chr1	226209648	226219725	28bedf3b-57e2-43b6-a434-de9dad8e84a9	226194122	226219892	rev	OV3_Cisp0
chr1	226284603	226298583	376695f7-b12f-42e0-9211-c5c9cb8a4003	226266680	226305722	rev	OV3_Cisp0
chr1	228015514	228019929	f78ff939-c3af-4059-8a15-9027f19420b2	228011579	228033269	rev	OV3_Cisp0
chr1	231672334	231679313	b98aafa3-0a1d-4aaa-a088-b1bbfa522ccf	231665502	231679320	rev	OV3_Cisp0
chr1	232672049	232673165	81209482-d556-495d-8d33-36d9a94ecb38	232672040	232693824	fwd	OV3_Cisp0
chr1	235395944	235398475	fcd5e1fd-14c4-42cc-854a-1e83266fc94d	235395939	235407572	rev	OV3_Cisp0
chr1	235841563	235846249	48b768b9-b942-4308-8e3d-6e6328b881fe	235822861	235850318	fwd	OV3_Cisp0
chr1	236809256	236814797	13aa2063-ae81-4364-a190-25330239845e	236789736	236820954	rev	OV3_Cisp0
chr1	238460416	238483047	ffdb808c-a5d4-4f18-9008-f1c4949fbb8e	238459861	238508465	rev	OV3_Cisp0
chr1	243959052	243984259	19920319-ca5e-4886-b5c0-ec70c5533d0c	243952964	243984266	fwd	OV3_Cisp0
chr1	245116419	245120665	4be45429-9e46-4ded-8b7b-d0ca9fbd9ca5	245116193	245136157	fwd	OV3_Cisp0
chr1	247670486	247676897	d0b9a292-a4ba-47f9-8b97-2b1c554e4653	247665834	247676908	rev	OV3_Cisp0
chr1	248623958	248630042	9f78d47c-bd87-46a1-a0bf-00f7cc5c6c76	248622933	248645394	fwd	OV3_Cisp0
chr10	3352701	3354525	b46a5ae8-2aaf-4625-8d3b-9aeb44a459aa	3352692	3361860	fwd	OV3_Cisp0
chr10	6012675	6014389	922ae72e-1c2d-48e3-82fd-11f6df553a8c	6011957	6026746	rev	OV3_Cisp0
chr10	11211539	11213044	5b4a15d1-e77a-4a5d-b1dd-9207a950aa5c	11211532	11222934	rev	OV3_Cisp0
chr10	13242117	13252478	0e24f67c-792d-47e1-9aec-d4882ff6f486	13237548	13257103	rev	OV3_Cisp0
chr10	15347574	15352524	af07dbf6-18d1-449c-a867-838fb53f315a	15347570	15369523	fwd	OV3_Cisp0
chr10	15411180	15426309	7b8d030e-d1c9-48a8-bf93-9d74d439ae2c	15405154	15426625	rev	OV3_Cisp0
chr10	15714113	15718265	ea236aa7-d994-40a3-9acb-b7093259ac48	15713727	15764301	fwd	OV3_Cisp0
chr10	16958247	16962286	b9ba7494-36eb-453b-843a-694a960f4cbe	16951532	16963491	rev	OV3_Cisp0
chr10	18795436	18798577	7cea3a90-2638-4ed6-b5e9-43937b74351e	18774653	18798626	fwd	OV3_Cisp0
chr10	19924542	19926346	3bb4c078-1f82-42ee-929c-fe446253b9fd	19915907	19926351	rev	OV3_Cisp0
chr10	20398154	20400909	5ec3e6d6-f8b7-4e47-85d4-6723c7a5d71b	20385981	20400924	fwd	OV3_Cisp0
chr10	21854825	21857656	ccaba64d-0575-4959-be70-cc359be07cfb	21845477	21860224	fwd	OV3_Cisp0
chr10	25525373	25528339	7d32a8fd-273a-44f2-8780-6a2310a7eeed	25513696	25528344	fwd	OV3_Cisp0
chr10	26459610	26471728	fc658019-c582-4b2e-9148-219bdac50142	26450950	26492856	rev	OV3_Cisp0
chr10	26601332	26603917	b3700b13-2bd0-40dd-9f2b-4fc9ad6916d5	26591079	26606177	fwd	OV3_Cisp0
chr10	27486351	27498572	2761ac39-5580-4d9b-bdfa-a182597aca04	27481315	27498585	rev	OV3_Cisp0
chr10	27880908	27883571	06d0df35-9cd3-4d72-8b8d-a628efb2e75e	27863089	27892792	fwd	OV3_Cisp0
chr10	27997569	28015997	c6a5d300-6a22-422d-bef2-1e198551487d	27995592	28026113	rev	OV3_Cisp0
chr10	28736031	28744380	2b4c25f7-341f-4415-b355-de055a91395b	28732371	28744386	fwd	OV3_Cisp0
chr10	35728431	35738582	a00bb248-8033-418f-91ab-b6ed1e8356fb	35709971	35739232	fwd	OV3_Cisp0
chr10	36499934	36505196	4309e102-d97d-4719-95f8-4e673c981a74	36499926	36510601	fwd	OV3_Cisp0
chr10	39158341	39161045	fad1a19e-dfea-4df8-97d2-0dfe16569841	39153856	39162633	fwd	OV3_Cisp0
chr10	41873303	41875799	3d6f3227-9dd7-4cc0-9cb6-61eb9d03e2b5	41851094	41879384	fwd	OV3_Cisp0
chr10	41912437	41914445	1ca6c4a8-0f80-46b2-ac5c-628a45fafa97	41860203	41916258	fwd	OV3_Cisp0
chr10	41883853	41896513	ae945a1f-518f-44aa-9195-a335914d4c9c	41878419	41904609	fwd	OV3_Cisp0
chr10	41890483	41891662	9e646095-6e73-45c5-aaf2-a7e94e14633e	41879328	41892461	fwd	OV3_Cisp0
chr10	41882040	41883208	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd	OV3_Cisp0
chr10	41889562	41891397	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd	OV3_Cisp0
chr10	41882923	41884004	ad971243-02ec-4388-9c70-34f306949184	41882919	41897568	fwd	OV3_Cisp0
chr10	41888047	41896613	efd6995d-b603-413e-89f9-056c45385901	41884246	41906978	fwd	OV3_Cisp0
chr10	41899431	41900646	2414501d-a28a-4d87-a014-dddc462edbf5	41886237	41901184	fwd	OV3_Cisp0
chr10	41905470	41907204	8274a84d-542b-4eb7-aa58-88139a704dd9	41904110	41916259	fwd	OV3_Cisp0
chr10	41908612	41911344	8274a84d-542b-4eb7-aa58-88139a704dd9	41904110	41916259	fwd	OV3_Cisp0
chr10	42100357	42105067	5dfa78ca-c77b-41fc-94b4-a0a93cf0cbd5	42066265	42105072	fwd	OV3_Cisp0
chr10	42093170	42096036	a354f685-1685-4a8b-a707-23d0d723b21e	42072778	42099669	fwd	OV3_Cisp0
chr10	44126998	44135773	082d6fc0-1e34-4f9f-a71d-37818335eb38	44126994	44149863	fwd	OV3_Cisp0
chr10	45340712	45346963	e9c9bb2e-3b5a-4bab-95ef-4b49c5fffcde	45333987	45350203	rev	OV3_Cisp0
chr10	45526415	45528953	8e759479-7754-4c0c-ae42-e265a19e8716	45525868	45537577	fwd	OV3_Cisp0
chr10	46564627	46569954	738be5ef-0de8-45f5-9fcf-7b553ad95182	46563045	46592263	fwd	OV3_Cisp0
chr10	47754260	47756689	51d367af-3f2c-4657-a3e9-96c3c3f4f85d	47753255	47779903	fwd	OV3_Cisp0
chr10	50471734	50485991	a727cfe2-8c2c-4d3d-ae41-10c68287fecc	50470931	50493815	fwd	OV3_Cisp0
chr10	54448489	54452906	2f3c2a6d-06f3-4219-bdcc-ad16ffbe1797	54448482	54456132	fwd	OV3_Cisp0
chr10	55410839	55413134	d3dee7ef-6b5a-4415-abfc-f397bc0b90e1	55410829	55419733	rev	OV3_Cisp0
chr10	58727547	58730819	ba028bfa-1536-4081-962a-d56d8a833988	58720108	58731949	rev	OV3_Cisp0
chr10	59123849	59125838	867f3bbf-0f49-453d-aba6-95d615e4610c	59109879	59125847	fwd	OV3_Cisp0
chr10	59733938	59735432	cef824bc-a2bf-4f85-af89-91af82d0fd02	59733933	59740526	fwd	OV3_Cisp0
