chromosome	termination_start	termination_end	readID	read_start	read_end	strand
chr1	143209322	143209322	193bf75f-0e1c-44c6-8fca-408e237b3036	143200062	143221953	fwd
chr1	143223403	143223403	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd
chr16	46389339	46389339	dedaee74-ebc4-44fa-b1ca-96c4f33d9654	46383095	46405953	fwd
chr16	46396248	46396248	75474515-1f22-4d50-9974-6fcf4abc68aa	46385624	46400636	rev
chr16	46396612	46396612	cc937f93-59bf-4313-abd2-74bf6ec27c68	46387304	46403452	rev
chr16	46392675	46392675	d0a6557a-4255-4494-baa3-3994a8cbd40a	46387385	46401758	rev
chr20	31069870	31069870	d34b4690-21f8-4bba-a863-8b67b263e57c	31063974	31076455	rev
chr22	10714364	10714364	9f101ffd-d1a9-4c89-87bf-a205bfc07bd9	10707713	10721203	fwd
chr4	49152527	49152527	d51541e7-3790-4277-a351-393f1ec2a5c5	49143801	49156884	rev
chr4	49153998	49153998	d08c3943-301d-44ad-ab11-be946ba595d7	49147652	49166764	fwd
chr10	41894748	41894748	1276f8ab-f5fa-486b-870d-e6298d49cc4f	41868704	41904172	fwd
chr10	41880536	41880536	e090b315-f9b9-460d-bd87-24c93c0092b1	41877294	41891012	fwd
chr10	41886460	41886460	e069bf96-bb9a-4028-94ff-daffb9495af5	41878527	41910681	rev
chr10	41885776	41885776	b8d7d44c-392a-4af3-950a-fea1595b347f	41880803	41892301	rev
chr10	41890132	41890132	44c3c2b3-ac54-494d-bb72-1ef31cbd544a	41881793	41895226	fwd
chr10	41890523	41890523	d22d5ffc-1ba1-4f48-9f79-1a8c314d24d4	41883037	41900378	fwd
chr10	41908168	41908168	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	41893512	41916263	fwd
chr10	55910142	55910142	9af2a3e8-f98d-4594-986c-15a0737d61cd	55906381	55921498	fwd
