sample	read_id	chromosome	EdU_bp	BrdU_bp	total_analogue_bp	EdU_segments	BrdU_segments
OV3_Cisp1_masked	195913d0-900e-455d-a801-53f3d9805d9b	chr1	1022	1101	2123	1	1
OV3_Cisp1_masked	2a4b3a44-e0da-4e6a-8078-811115952dfe	chr1	1414	1109	2523	1	1
OV3_Cisp1_masked	47ee281b-b6c0-4095-ac04-705541f83444	chr1	1030	6020	7050	1	1
OV3_Cisp1_masked	4b4101b4-ef9e-4851-b761-01e72725a8a9	chr1	4720	1282	6002	1	1
OV3_Cisp1_masked	5d2ef80e-3e1a-4c47-a88a-e8d9a9cf42bc	chr1	1493	1297	2790	1	1
OV3_Cisp1_masked	77a3399f-7427-43a8-9cfd-3954e58b1a76	chr1	3882	3989	7871	1	1
OV3_Cisp1_masked	82a33d7f-b7e2-4fe5-92d8-808a7e633b04	chr1	1043	4544	5587	1	1
OV3_Cisp1_masked	9b3ae007-4163-42a5-9ed8-3b84e911465b	chr1	9794	3978	13772	1	1
OV3_Cisp1_masked	bb36dcdb-cb74-42e1-85bf-625f4e560b41	chr1	1434	1551	2985	1	1
OV3_Cisp1_masked	14012148-9c90-44b1-aa7f-bda9db9b7fd8	chr2	2030	1931	3961	1	1
OV3_Cisp1_masked	3607c143-73ca-4299-9ab4-b3b7a147f136	chr2	1215	3760	4975	1	1
OV3_Cisp1_masked	588a4d8a-de31-4fb3-a831-e7d131b6d029	chr2	4756	4959	9715	1	1
OV3_Cisp1_masked	58e1536e-0642-4f2c-9a14-2bf7226e4b5e	chr2	1120	8527	9647	1	1
OV3_Cisp1_masked	5de0ee08-d481-464b-a1a4-7be13556f5da	chr2	1479	4084	5563	1	1
OV3_Cisp1_masked	6d541010-8595-40d7-b10d-6b26ce384e79	chr2	3541	3566	7107	1	1
OV3_Cisp1_masked	97b1e809-1a13-442c-8d5b-eef9cc2e20aa	chr2	3152	1210	4362	1	1
OV3_Cisp1_masked	a097662c-2131-4c69-b7b7-00cc25659fec	chr2	2540	3703	6243	1	1
OV3_Cisp1_masked	b4860886-2d64-4c45-90aa-8f12c7f3f128	chr2	2783	11677	14460	1	1
OV3_Cisp1_masked	c1f8b8e6-db20-4671-a20f-0d9a7833103c	chr2	1552	7587	9139	1	1
OV3_Cisp1_masked	c84535dc-6268-46fd-be82-a3be81f683f2	chr2	1268	5380	6648	1	2
OV3_Cisp1_masked	cbd9a9b9-f702-43b6-9a7d-e9310b911a7f	chr2	1192	1985	3177	1	1
OV3_Cisp1_masked	cdfdd430-5e95-4474-9bc3-dac05199fbe2	chr2	1588	4430	6018	1	1
OV3_Cisp1_masked	d41eb29d-8e18-474f-b0ca-e03f8bc381dc	chr2	3300	5216	8516	1	1
OV3_Cisp1_masked	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	chr2	2959	7440	10399	2	3
OV3_Cisp1_masked	42bc603c-43b3-4b54-8534-24d4b3be9d06	chr3	1604	8685	10289	1	1
OV3_Cisp1_masked	476d8188-c35c-4f5f-8403-d1b6179034c4	chr3	1574	6527	8101	1	1
OV3_Cisp1_masked	50ec97b4-ec50-42be-b1d6-dd154610b95d	chr3	3716	1326	5042	1	1
OV3_Cisp1_masked	6a4cfe82-b33a-4a83-ac6a-e5283cafea01	chr3	1543	2391	3934	1	1
OV3_Cisp1_masked	7bc1fcb4-8b91-44db-afcd-b983f4435ee5	chr3	1470	11503	12973	1	1
OV3_Cisp1_masked	7fa7380b-25bc-449b-8941-0af35fe19253	chr3	1597	4873	6470	1	1
OV3_Cisp1_masked	8b1ff379-c490-4bca-9176-5b29c056b1ab	chr3	2560	3160	5720	1	1
OV3_Cisp1_masked	9dc858dd-1528-4d1e-857b-add170a7ebb0	chr3	2596	3755	6351	1	1
OV3_Cisp1_masked	bc65e83c-96e5-4a78-b464-5c733c25bedb	chr3	1713	3644	5357	1	1
OV3_Cisp1_masked	bf91a270-8519-4bc4-972c-976f67380c20	chr3	3508	3823	7331	1	1
OV3_Cisp1_masked	c66b99a2-2fa7-460c-b709-266e0c4ba9cb	chr3	1741	4076	5817	1	1
OV3_Cisp1_masked	c851c878-1100-4b02-af42-38fe6ebb5f05	chr3	4105	4788	8893	1	1
OV3_Cisp1_masked	db94fcf0-7867-4998-a5df-ef088d92006c	chr3	1565	3722	5287	1	1
OV3_Cisp1_masked	e5f76704-b904-4931-88c3-085ce4d38f00	chr3	4221	2460	6681	1	1
