sample	read_id	chromosome	EdU_bp	BrdU_bp	total_analogue_bp	EdU_segments	BrdU_segments
UWB_Cisp1	042d4a44-baaf-42f5-9d80-3fbbfe3b30d8	chr1	5889	3762	9651	1	1
UWB_Cisp1	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	chr1	4218	13945	18163	2	3
UWB_Cisp1	193bf75f-0e1c-44c6-8fca-408e237b3036	chr1	9225	4397	13622	2	1
UWB_Cisp1	26fe9c16-a239-4aa1-9f1f-02d117e40ffa	chr1	3498	1227	4725	1	1
UWB_Cisp1	2b6ba241-036b-44b3-a456-b022f57bd4da	chr1	7563	1105	8668	1	1
UWB_Cisp1	2ca7371f-320c-41a7-80ed-97aea83ea601	chr1	3899	4196	8095	1	1
UWB_Cisp1	2d744a2c-0875-4f44-9f56-5271fe87be2d	chr1	1162	2212	3374	1	1
UWB_Cisp1	3618b41c-9ac0-45f1-b1f3-e9e0119516e7	chr1	2838	11337	14175	1	1
UWB_Cisp1	398f1635-812f-4c13-8d54-48d68e964fd4	chr1	3321	6165	9486	1	1
UWB_Cisp1	403f9c31-a452-41cc-9036-7c0e4cd9f169	chr1	2110	1032	3142	1	1
UWB_Cisp1	41a1a5c8-5e54-4227-9fb3-877153678f89	chr1	1947	1594	3541	1	1
UWB_Cisp1	49ae65d6-3ff0-459a-9151-2f14a9a49ab0	chr1	3319	3230	6549	1	1
UWB_Cisp1	54b5f1fe-03f8-4b22-97e6-b662eebbedbe	chr1	1068	1095	2163	1	1
UWB_Cisp1	55960c1e-db3a-4335-b9c9-487c6d1df9f7	chr1	1838	3039	4877	1	1
UWB_Cisp1	6060e963-d832-41b0-a6e8-bde1281b1e57	chr1	3758	1514	5272	1	1
UWB_Cisp1	630f3f0b-b144-4fab-afba-6d7c2c85def3	chr1	2198	1454	3652	1	1
UWB_Cisp1	6403bf30-c70b-4d52-a11c-e19805bd1383	chr1	1740	1554	3294	1	1
UWB_Cisp1	64b96649-95d2-4715-8a78-4b1c9fa6f20c	chr1	2659	2179	4838	1	1
UWB_Cisp1	6564ea28-8596-4ad6-816d-eac7a67100af	chr1	2764	4837	7601	1	1
UWB_Cisp1	65f1306d-d29f-4e31-97d5-68e9c00e01e9	chr1	2880	1160	4040	1	1
UWB_Cisp1	6a960373-8ff8-475c-973b-ccc3f85903ba	chr1	3704	7302	11006	1	1
UWB_Cisp1	77d33aea-cfb2-4bc8-a9e1-612a1647a586	chr1	1119	3086	4205	1	1
UWB_Cisp1	7c736c02-81e8-423f-8126-3637b57ef9de	chr1	1807	2610	4417	1	1
UWB_Cisp1	7cf623f5-c4eb-4702-a322-122e829b2db0	chr1	3722	1086	4808	1	1
UWB_Cisp1	7d125b6c-5626-493b-ab94-999c7ac19e75	chr1	1010	1289	2299	1	1
UWB_Cisp1	811d94e4-cf44-44ef-bd03-450b3cab67b6	chr1	3039	4897	7936	1	1
UWB_Cisp1	82438c37-0302-42f4-a03e-c5ddb8d624ff	chr1	3030	3800	6830	1	1
UWB_Cisp1	8691d307-4914-4910-a37a-adb74e857e30	chr1	1550	4198	5748	1	1
UWB_Cisp1	8b95ac74-703a-4577-9dc6-a7537a605b71	chr1	1667	5295	6962	1	1
UWB_Cisp1	96dd2887-40d4-4d24-adb0-3002b5559146	chr1	1603	1831	3434	1	1
UWB_Cisp1	a7f85bbd-b8e8-45d1-ab69-4e4dfa308906	chr1	2992	2439	5431	1	1
UWB_Cisp1	b69d0cf5-4f91-40ab-a5d2-2869483b9073	chr1	1499	10055	11554	1	1
UWB_Cisp1	bca52497-8529-407f-b161-d0a25ec4a049	chr1	1527	4389	5916	1	1
UWB_Cisp1	c0fed43a-80cf-40bf-956c-33809b18a145	chr1	1085	1885	2970	1	1
UWB_Cisp1	cf973308-2c2d-44dc-bc7d-d681ecabf82a	chr1	4254	2413	6667	1	1
UWB_Cisp1	cfca1aee-21f5-4454-9024-95693bec59c2	chr1	1315	1683	2998	1	1
UWB_Cisp1	ea09923d-397d-4b75-ba4c-5bb14eaba788	chr1	1219	8527	9746	1	1
UWB_Cisp1	ed01006b-1fd4-411e-a5b9-fa0b57d047b4	chr1	2648	2293	4941	1	1
UWB_Cisp1	f200e264-5b2e-496f-8cd2-5f52b5078502	chr1	2555	6392	8947	1	1
UWB_Cisp1	f90c98c6-bc8f-4c8b-93bf-b78d4267992e	chr1	5188	3026	8214	1	1
UWB_Cisp1	f9a3d4ee-63eb-4f9e-b936-7d020caba97f	chr1	1806	3142	4948	1	1
UWB_Cisp1	0842ca53-c7f4-4ef8-8346-498173f246d6	chr2	1204	3288	4492	1	1
UWB_Cisp1	1e26236b-e894-4ec9-abdb-8d76b402d264	chr2	2034	7194	9228	1	1
UWB_Cisp1	33bc3275-f1d7-4f32-9e85-f02c47b2b35e	chr2	1011	5729	6740	1	1
UWB_Cisp1	34aa6a3d-1b48-4d7b-bb8c-10e225704d64	chr2	1148	7163	8311	1	1
UWB_Cisp1	36636865-7960-4e96-8f25-662ca4b9ad2d	chr2	1069	4507	5576	1	1
UWB_Cisp1	37a55fa2-0f8a-4356-b353-019cf8b214d8	chr2	2044	8081	10125	1	1
UWB_Cisp1	3b25bd55-178a-430f-8a89-e3f835a0c202	chr2	2944	6070	9014	1	1
UWB_Cisp1	3d5e18f1-705b-4fde-a31b-64a1a6ad3484	chr2	2081	2226	4307	1	1
UWB_Cisp1	3ef7c955-0208-4779-9e5b-37a0ac768ca9	chr2	3018	2568	5586	1	1
UWB_Cisp1	5d0b14cc-459b-440f-b93f-2fb60e26bb12	chr2	1110	1074	2184	1	1
UWB_Cisp1	6694c13d-96ac-4b41-8da5-92e0ce98dda1	chr2	1861	1033	2894	1	1
UWB_Cisp1	68cc4246-ac66-4aef-8d1f-83cfc7ed56b2	chr2	4849	5009	9858	1	1
UWB_Cisp1	70ee0bfe-393b-4738-a4c2-46bf1f27d6d9	chr2	1029	4067	5096	1	1
UWB_Cisp1	7d834efc-56ad-4904-9bb5-155728bf4cd9	chr2	1774	3298	5072	1	1
UWB_Cisp1	7f672291-151e-4649-a7ac-c5ddac239cfa	chr2	2115	8425	10540	1	1
UWB_Cisp1	883b63d3-e36b-4eb6-8146-908ee6783537	chr2	2672	5672	8344	1	1
UWB_Cisp1	8b3cdc65-fa74-4829-bfbc-d4c93c1e85e0	chr2	1127	1942	3069	1	1
UWB_Cisp1	901c9d25-cb60-4fd9-8716-7ca2e4d32f7c	chr2	1752	3726	5478	1	1
UWB_Cisp1	960d13b4-b631-49a1-b575-1539d9083d5a	chr2	1679	1979	3658	1	1
UWB_Cisp1	9cb2b8dc-74e0-4309-a2cb-81fe29523927	chr2	2888	9737	12625	1	1
UWB_Cisp1	aedd90d6-bdd7-4d21-a204-a8a7a156f210	chr2	3575	5283	8858	1	1
UWB_Cisp1	b4e64599-cc99-4875-acc8-c5a4ad1eac50	chr2	1152	3082	4234	1	1
UWB_Cisp1	c58b20ff-0b77-4271-a7a8-81ac4d06fad6	chr2	1882	7534	9416	1	1
UWB_Cisp1	d7ac2018-0820-4276-9f77-3200f36c54d3	chr2	1025	3923	4948	1	1
UWB_Cisp1	d8516cbc-9aff-40ad-9ef7-a2e7e4b66071	chr2	2910	4312	7222	1	1
UWB_Cisp1	e014ce1f-f0fa-4b14-8bb7-8dc373919ef1	chr2	1880	3897	5777	1	1
UWB_Cisp1	e1b1f868-71bf-43de-a42d-9adfcadc7110	chr2	3028	4923	7951	1	1
UWB_Cisp1	e551196d-29fb-4488-97c1-cd264f694ee8	chr2	4065	5530	9595	1	1
UWB_Cisp1	f0ec5ca8-bac6-4dcd-b41e-b826cce93847	chr2	3066	4852	7918	1	1
UWB_Cisp1	f12938e9-c176-457a-84c4-34451395aa40	chr2	2355	3626	5981	1	1
UWB_Cisp1	0d7da67c-e3e6-4c1c-bc51-bc553402cf09	chr3	3315	4206	7521	1	1
UWB_Cisp1	1cc2e156-3daf-4e9b-b5ae-b37d768775ea	chr3	1000	1708	2708	1	1
UWB_Cisp1	1d03add8-06a1-4f82-a454-31c61e39269b	chr3	1036	1376	2412	1	1
UWB_Cisp1	1f25cf5e-dffb-4a04-a33a-66000250f856	chr3	1768	7486	9254	1	1
UWB_Cisp1	20b6e92b-5296-41d3-9edf-7fc9cc5e0371	chr3	1336	8347	9683	1	1
UWB_Cisp1	26df53eb-92ba-4af7-aa8a-07f111cf9ade	chr3	1487	4628	6115	1	1
UWB_Cisp1	28a8beea-54bf-41fa-929e-f094f958a2ea	chr3	2646	1847	4493	1	1
UWB_Cisp1	396c6b0b-135c-4d70-8dbb-471b94d9182d	chr3	2154	2154	4308	1	1
UWB_Cisp1	3dae7a50-d07d-4310-9ac4-26ad679bc85c	chr3	1488	9435	10923	1	1
UWB_Cisp1	4465afbd-5e70-46a4-b942-4027ae693cab	chr3	1015	1027	2042	1	1
UWB_Cisp1	4b8949d4-8e51-462e-a94f-69e32a276b89	chr3	4091	1104	5195	1	1
UWB_Cisp1	4c4feb69-1dec-4c08-b109-d36dbe816fcb	chr3	2314	3200	5514	1	1
UWB_Cisp1	51c37163-5614-4e50-9c18-fff5dcd378e5	chr3	2278	6293	8571	1	1
UWB_Cisp1	5d2a50a5-13dc-47c5-a55b-410e375642fa	chr3	1187	1914	3101	1	1
UWB_Cisp1	5eedf4ab-3369-453b-a3be-4685c942be1f	chr3	2147	1376	3523	1	1
UWB_Cisp1	5fc6e2c7-af60-4d44-aeaa-58fb6707c6a9	chr3	2738	3547	6285	1	1
UWB_Cisp1	6be7721a-a0e9-47d6-8995-4e5f8ea93567	chr3	1447	5789	7236	1	1
UWB_Cisp1	74a60c1f-0080-4687-a200-f6ca9b43ae8d	chr3	1236	1390	2626	1	1
UWB_Cisp1	7654f9fa-8f1f-4c63-9eb0-f73640e64d6e	chr3	3543	6291	9834	1	1
UWB_Cisp1	779de764-ebb5-4633-9724-fee87db52b1e	chr3	1593	4268	5861	1	1
UWB_Cisp1	7cdf358e-e12c-478c-ba67-f6c52fe8a85d	chr3	1492	2780	4272	1	1
UWB_Cisp1	81e91fbd-fdfe-4c82-8d88-d299828e216e	chr3	3762	3651	7413	1	1
UWB_Cisp1	8421005b-3728-4de5-8b41-82c43c3219d6	chr3	3679	12904	16583	1	1
UWB_Cisp1	86b08c05-5b96-4b1a-aa0d-9a78253377d2	chr3	2993	2182	5175	1	1
UWB_Cisp1	8e01a479-4612-4146-bb34-34fdf6de396e	chr3	1272	9850	11122	1	1
UWB_Cisp1	99a35cd7-3326-4344-b5ca-964ff7d95bce	chr3	2787	18026	20813	1	1
UWB_Cisp1	9ad6a984-698f-4a4f-a3cd-e916a094fc2f	chr3	4742	1793	6535	1	1
UWB_Cisp1	9dd543f6-0d2d-4620-ba9d-12bbf3ceb94f	chr3	2827	7899	10726	1	1
UWB_Cisp1	b374f379-9464-4e8d-99fd-33faf45c8182	chr3	2266	1168	3434	1	1
UWB_Cisp1	b3795908-6d71-4e6b-bc75-e769afa2222f	chr3	2501	3982	6483	1	1
UWB_Cisp1	b4d74482-6e6a-4395-b120-83e4929d5b9c	chr3	1435	7352	8787	1	1
UWB_Cisp1	b6e6ff25-72d7-438b-a591-029a2a605993	chr3	2836	3231	6067	1	1
UWB_Cisp1	b9482d7c-a4d2-4259-8b9b-d0a4a3df7a8f	chr3	1099	4734	5833	1	1
UWB_Cisp1	c17dcde6-6bdd-4e42-8699-daae3c12fce2	chr3	1267	4886	6153	1	1
UWB_Cisp1	caed046e-6058-42f5-8356-1e2a099ea7a1	chr3	3901	2969	6870	1	1
UWB_Cisp1	d54e22b2-6682-4ae1-bddc-a96c8da27762	chr3	2407	2486	4893	1	1
UWB_Cisp1	ea346801-f77f-47c6-bd40-8bfa58dcbaec	chr3	2030	2956	4986	1	1
UWB_Cisp1	eae7e9b7-d012-4b93-8948-de59c2908dea	chr3	3597	10311	13908	1	1
UWB_Cisp1	edac4f66-b1b3-4ef4-8168-5cdc0f6ede35	chr3	3026	2541	5567	1	1
UWB_Cisp1	eec2aa5e-cbc6-4126-a3cf-69acddb22a0f	chr3	1053	1329	2382	1	1
UWB_Cisp1	f7d960c9-4b01-455e-bbfb-4724a1a9ff1a	chr3	6543	2635	9178	1	1
UWB_Cisp1	f92309e2-1b1a-4cc2-ba0a-ccb5b8dac268	chr3	4988	1830	6818	1	1
UWB_Cisp1	f9529ea0-9961-4b94-9a80-d567e51546df	chr3	3374	6623	9997	1	1
UWB_Cisp1	123441ea-8b48-4ea9-b39d-7a0dd3b86fed	chr4	1078	4669	5747	1	2
UWB_Cisp1	1cdbbcaf-525d-4585-ab84-477e17af1d73	chr4	2261	1380	3641	1	1
UWB_Cisp1	294916d4-8e4a-4fb9-9bf2-200ce6c33eae	chr4	5068	2596	7664	1	1
UWB_Cisp1	3c99e7ac-c5f9-4c01-a8ee-b60e5fd5f5dd	chr4	1642	1141	2783	1	1
UWB_Cisp1	3ca0eeed-1761-4536-9941-b8333694e1a6	chr4	1592	5261	6853	1	1
UWB_Cisp1	51f2e6bf-5e43-4dde-bd22-f42b81ad8d6b	chr4	3178	8444	11622	1	1
UWB_Cisp1	52a22c28-f0bc-4640-857f-919d2df3bd3c	chr4	1150	2226	3376	1	1
UWB_Cisp1	564a20bc-402e-4607-9def-23466f01286d	chr4	3817	4982	8799	1	1
UWB_Cisp1	576f6107-9418-4750-9d83-2c0c697d9872	chr4	2230	3312	5542	1	1
UWB_Cisp1	5b04f802-078d-4b7e-b7a8-ef60e0ca75e1	chr4	1930	4968	6898	1	1
UWB_Cisp1	5edee8e4-0026-49a4-a183-54afdcc9f3a1	chr4	1268	4779	6047	1	1
UWB_Cisp1	6ad2b8ab-2952-4171-b631-aff89aae5b4e	chr4	1755	3110	4865	1	1
UWB_Cisp1	6f86403d-ed0d-4d9e-aac9-730b3979504d	chr4	3777	1453	5230	1	1
UWB_Cisp1	723e2090-b131-4302-8692-118868d60bbd	chr4	1000	1506	2506	1	1
UWB_Cisp1	748e28e9-dba2-4504-835b-0a1b0cbe9063	chr4	1317	4386	5703	1	1
UWB_Cisp1	76001f6b-30b1-46ce-9d3e-6e114a663e5d	chr4	1129	4201	5330	1	1
UWB_Cisp1	7f810679-4681-4471-a3fa-78b2c0c28e02	chr4	1125	1014	2139	1	1
UWB_Cisp1	90280cca-8b43-4744-80b6-0d4b47b5f5f3	chr4	2901	3895	6796	1	1
UWB_Cisp1	9a66686b-bce5-4fe4-93ef-f4c05e1fd1a5	chr4	2587	3436	6023	1	1
UWB_Cisp1	a39c40de-d146-4698-acc4-b7069ff67223	chr4	1628	12092	13720	1	1
UWB_Cisp1	af1fced0-056b-44c4-b550-c7e0e0be7204	chr4	1538	11010	12548	1	1
UWB_Cisp1	afe135e8-5ae7-4370-b6c8-c6229781ba40	chr4	1012	1859	2871	1	1
UWB_Cisp1	b9392224-b8ed-4b5d-a37f-cd8c3dcbf9ed	chr4	1933	2008	3941	1	1
UWB_Cisp1	c3460f57-a7ef-41d0-8b85-b0dd589b14b7	chr4	1041	9013	10054	1	1
UWB_Cisp1	c5e0e778-5c5b-41fc-87e5-b089ba6217d1	chr4	1109	2098	3207	1	1
UWB_Cisp1	c96d0768-ce36-4a01-a29b-069c4458a1e1	chr4	1259	2107	3366	1	1
UWB_Cisp1	d08c3943-301d-44ad-ab11-be946ba595d7	chr4	2648	1147	3795	2	1
UWB_Cisp1	d51541e7-3790-4277-a351-393f1ec2a5c5	chr4	3765	2586	6351	2	2
UWB_Cisp1	e5081c44-8708-473e-98c3-c25e1a8c615b	chr4	1639	3261	4900	1	1
UWB_Cisp1	e76a28b9-d02d-4046-8f36-63cdcd7bdcd4	chr4	2383	1039	3422	1	1
UWB_Cisp1	e76aeafa-e6e5-47c2-aeeb-9b03efc07b20	chr4	1373	7545	8918	1	1
UWB_Cisp1	fb955ad6-738e-43f9-96a9-44ffade7f86c	chr4	1344	5139	6483	1	1
UWB_Cisp1	176d4ddf-7f3c-4661-8e8b-af5c061f97ce	chr5	3217	2043	5260	1	1
UWB_Cisp1	29a92ece-873a-4ea3-9f09-167d64465f68	chr5	3168	4678	7846	1	1
UWB_Cisp1	4280ca76-5f3b-466b-85b4-d6f261f7daab	chr5	2956	11686	14642	1	1
UWB_Cisp1	461322d5-f140-4df3-b303-40757e35db46	chr5	1595	1670	3265	1	1
UWB_Cisp1	5e792145-bf56-472e-9fa5-f759dc702a01	chr5	4408	4872	9280	1	1
UWB_Cisp1	75b8dd85-cd15-46bf-811e-73fd206d43f9	chr5	1508	3103	4611	1	1
UWB_Cisp1	8c01152f-6ea8-44ab-ac85-3af48dbbbd5b	chr5	1181	4104	5285	1	1
UWB_Cisp1	970ec156-4fcc-4004-bfc4-9a78e54580eb	chr5	4039	5577	9616	1	1
UWB_Cisp1	99d7fc3c-1e2e-4e6f-8e18-0f10207e8915	chr5	2113	4791	6904	1	1
UWB_Cisp1	9a58a825-8f7e-4497-a1f1-62019fe81629	chr5	2027	3029	5056	1	1
UWB_Cisp1	9cb2a2b7-af8b-4ddd-8dc8-cd00b8839dad	chr5	1898	6796	8694	1	1
UWB_Cisp1	a9af70ab-2e6a-4716-96cc-c0ea36f172d6	chr5	2220	9846	12066	1	1
UWB_Cisp1	b915e6cf-3628-4793-8da7-e022c35750b3	chr5	1477	1111	2588	1	1
UWB_Cisp1	be4ba0dc-5789-4082-aa15-27ca894bbab3	chr5	1660	1241	2901	1	1
UWB_Cisp1	c9d39f90-d6ce-4b24-93e6-b42c8b1a48e7	chr5	1216	2488	3704	1	1
UWB_Cisp1	d2c24f64-a5b4-4bde-9999-1000b59fdbac	chr5	1792	3608	5400	1	1
UWB_Cisp1	d44d7c46-1a97-4492-909b-f5e18784aead	chr5	1143	4350	5493	1	1
UWB_Cisp1	e28edb1e-5a40-4f86-9af0-edebe4858908	chr5	2175	4899	7074	1	1
UWB_Cisp1	eb760fe6-419e-40b0-9675-e94d33ac708e	chr5	1017	5323	6340	1	1
UWB_Cisp1	0f9dab25-f447-469a-ae4d-d3d2f6c020aa	chr6	1120	2618	3738	1	1
UWB_Cisp1	1ce4b590-ddfe-4fc5-88aa-08c691498a32	chr6	1600	6212	7812	1	1
UWB_Cisp1	34515591-8b61-4e30-8e4b-6d459168ed9c	chr6	1736	5271	7007	1	1
UWB_Cisp1	38a1b098-3ba1-43df-9217-5f7ce1090a99	chr6	1132	1234	2366	1	1
UWB_Cisp1	3b4e2994-19b8-4c45-8a9c-77bbaa53dcf0	chr6	2734	5221	7955	1	1
UWB_Cisp1	3e0d70fe-bd0e-4d56-87ea-d05258415ab2	chr6	1614	2410	4024	1	1
UWB_Cisp1	427b3670-4514-4169-8655-1d2c036e36a4	chr6	1337	3953	5290	1	1
UWB_Cisp1	4759caad-f322-4c3f-add2-529399790c1b	chr6	2245	4791	7036	1	1
UWB_Cisp1	4c3f36e2-70e5-4b66-9dd7-d6daea8d84a9	chr6	1851	4478	6329	1	1
UWB_Cisp1	5fb8e07c-2080-410b-bf28-042afd9d4087	chr6	2517	7991	10508	1	1
UWB_Cisp1	b2792e19-3b8c-46b0-b6e3-566d9d748bca	chr6	1455	5952	7407	1	1
UWB_Cisp1	b2fe77d1-4cae-4d3c-a2d4-b126357a7a84	chr6	1202	10223	11425	1	1
UWB_Cisp1	c81fe245-de98-4009-9fab-d89e41eb6f3b	chr6	2252	5737	7989	1	1
UWB_Cisp1	f793795d-0a58-45ae-b35b-b59bee910a01	chr6	2017	4559	6576	1	1
UWB_Cisp1	f8d07dfc-39b5-42fd-8b5d-d2bb60111bc4	chr6	1274	8136	9410	1	1
UWB_Cisp1	fd0a708e-a2ab-4c47-9411-3ccf97e023cd	chr6	3514	4036	7550	1	1
UWB_Cisp1	fe4cae3e-4ce8-41ad-917e-ed2e6efe9925	chr6	1312	9680	10992	1	1
UWB_Cisp1	139095d4-3cc8-4365-af62-ad3b95b0dee2	chr7	1939	4235	6174	1	1
UWB_Cisp1	1e888728-b600-40ec-9c50-c3d8dfb8fc08	chr7	1181	3981	5162	1	1
UWB_Cisp1	27478e35-da35-445f-b460-fff304b05b9b	chr7	1806	11971	13777	1	1
UWB_Cisp1	53b017f0-7205-4c0e-92e0-98ef55957f76	chr7	1131	8712	9843	1	1
UWB_Cisp1	5600c990-fac1-48f7-a512-7f9b284df4b8	chr7	1847	3438	5285	1	1
UWB_Cisp1	5d75294f-caba-4ce1-9264-e2ed6fb4a875	chr7	1125	1197	2322	1	1
UWB_Cisp1	5f1ebea1-3a3f-4f34-a5a3-77c20b3a4dfd	chr7	4014	2892	6906	1	1
UWB_Cisp1	64a3e8b1-4588-462c-8b40-475ebabd0a4d	chr7	4848	2262	7110	1	1
UWB_Cisp1	6a7c9ad2-1595-49a8-94c4-767c4c1acedf	chr7	1374	1146	2520	1	1
UWB_Cisp1	88d7fdae-9506-4f24-80db-8040748ddf56	chr7	1627	12886	14513	1	1
UWB_Cisp1	901c9fd1-240f-481c-af4b-52b06d09572e	chr7	3222	4164	7386	1	1
UWB_Cisp1	95953587-2e32-4a16-995e-9b2423db5122	chr7	2138	7354	9492	1	1
UWB_Cisp1	9f77efb0-3960-4f05-ac35-adbd0fad743f	chr7	2975	8109	11084	1	1
UWB_Cisp1	a780115a-aaa0-4f0f-92b5-b4dabd44dbb5	chr7	1037	1232	2269	1	1
UWB_Cisp1	a9438818-529f-4945-b78c-4293938d39b4	chr7	1703	3781	5484	1	1
UWB_Cisp1	d03edc38-1bcd-4b26-9e16-314107071eca	chr7	1407	2543	3950	1	1
UWB_Cisp1	da9c3206-d495-4eb4-a544-fe7316ec1066	chr7	2693	3645	6338	1	1
UWB_Cisp1	dec1adc0-2f2e-4e0a-ab9f-8165448ba375	chr7	5885	2957	8842	1	1
UWB_Cisp1	f6aaf1da-dd64-49cf-ad2e-5318656689ca	chr7	5592	4465	10057	1	1
UWB_Cisp1	01021746-afcf-4d98-b161-f5c5fe1b749d	chr8	1015	3743	4758	1	1
UWB_Cisp1	0cc5d2e2-127a-4a77-a413-8c90d1b7e5c9	chr8	1308	8828	10136	1	1
UWB_Cisp1	19146341-965d-4f98-a85e-0a8e82ff90de	chr8	2157	5769	7926	1	1
UWB_Cisp1	2f38d079-a495-476f-9f5c-e55f0a4a3b80	chr8	1940	3419	5359	1	1
UWB_Cisp1	41f392a7-e20a-4f95-ad48-bf2a5db0a650	chr8	1170	2655	3825	1	1
UWB_Cisp1	6f5a68ce-66fd-4ca9-9826-0e6d87239d7d	chr8	3090	6230	9320	1	1
UWB_Cisp1	76dada49-83f8-49a5-ac97-00117aa45209	chr8	2543	7729	10272	1	1
UWB_Cisp1	8ad7cf37-0466-4cb6-b0b8-2d542fec429c	chr8	1441	1410	2851	1	1
UWB_Cisp1	8d2ee18e-fec3-4b1e-950c-dff02c639020	chr8	1639	1587	3226	1	1
UWB_Cisp1	9658ab91-e42d-44c3-b233-e7ac8ad8c4f9	chr8	4325	4008	8333	1	1
UWB_Cisp1	a1715d6b-3dfa-4453-b9fd-6d44c915a31b	chr8	1394	4926	6320	1	1
UWB_Cisp1	a8699e56-a794-4eac-9efc-9c9d21d7954f	chr8	1878	7571	9449	1	1
UWB_Cisp1	adf303f8-6f7f-4b1a-aa39-731b3a0d3943	chr8	1162	8268	9430	1	1
UWB_Cisp1	c20b4898-522e-4c9c-9ee5-693b2c2af654	chr8	2118	4158	6276	1	1
UWB_Cisp1	dcd1227d-17ee-4edb-8b7f-0135aba0fd80	chr8	1017	1673	2690	1	1
UWB_Cisp1	e7f349da-3001-437c-baac-70719a418d2c	chr8	4473	3316	7789	1	1
UWB_Cisp1	eef0f949-f0c2-4fc3-9ed7-5a88b8a27371	chr8	2029	1726	3755	1	1
UWB_Cisp1	f405faf0-0315-466d-9bd1-eb4b46b8e492	chr8	1667	8769	10436	1	1
UWB_Cisp1	0faa4818-74ad-42f1-a722-d54ec26fb514	chr9	2143	11149	13292	1	1
UWB_Cisp1	1e543763-9bd1-4b75-aa10-8f1c16fc25b4	chr9	2807	2263	5070	1	1
UWB_Cisp1	3b1c7ebb-3d57-4f40-8d74-585bcb863e1e	chr9	1302	1939	3241	1	1
UWB_Cisp1	47ffc12e-86ab-4137-88e4-1f38506d995a	chr9	3112	3072	6184	1	1
UWB_Cisp1	56ba7d3d-b0f4-4a96-926a-36427053e07f	chr9	1621	7080	8701	1	1
UWB_Cisp1	56f3369e-5dc0-4ce1-aa20-3ca35f52f19c	chr9	1034	10179	11213	1	1
UWB_Cisp1	58295669-d14f-4a31-9a1d-010bbfe1e2db	chr9	1036	2355	3391	1	1
