chromosome	origin_start	origin_end	readID	read_start	read_end	strand
chr1	47316968	47316968	9d3aa54a-4d67-4902-83ab-cec837a61b52	47313289	47320842	fwd
chr1	193537175	193537175	58600f1b-83e5-414d-aedd-f9c65732765a	193532846	193545572	fwd
chr1	213690354	213690354	5083edf3-5278-4a92-914d-eb337f3083c4	213680519	213696077	rev
chr15	95624246	95624246	1e34d56b-2573-4274-9a60-1b44b39c03f7	95617644	95632743	fwd
chr16	7506053	7506053	94233342-c606-4594-83eb-9824c8c35c80	7500126	7515054	fwd
chr16	46392702	46392702	fbb23419-ee3b-4e57-9de3-022c158fb9c4	46382554	46406074	fwd
chr19	23568829	23568829	4c1c5ca3-e0bf-4412-8374-90c462527959	23558740	23576614	rev
chr2	52054645	52062490	f7519094-5dda-45f3-9913-707803fabb16	52044854	52066440	fwd
chr2	125676659	125676659	c5d7c8d2-8e4d-4f98-9e1f-bc42dd873ce5	125670334	125684893	rev
chr2	145545036	145545036	266cab4d-8268-4233-98f1-41878a6940a2	145539095	145552660	rev
chr3	165383498	165386895	c946c2d7-30d1-416d-93d7-0516732cb107	165375699	165393287	rev
chr3	181890503	181890503	76596cb7-86df-4a21-8ab3-37e0e0b255d3	181884985	181894262	fwd
chr4	37885234	37885234	89423576-c8ae-4d56-880a-c83828f99e98	37879513	37890963	fwd
chr4	109413862	109413862	fdcd93cd-8c10-40ac-be24-fb689bb812d7	109397787	109420699	rev
chr4	179577374	179577374	257fde22-01ea-4630-9d0b-948eb1dca3b4	179570508	179581458	rev
chr5	5161582	5161582	db746a90-ec5c-42b7-8054-fbd667a3a557	5159059	5165738	fwd
chr5	161902381	161902381	7ab1cf4c-632b-47d7-8a29-d5726320c32f	161897106	161907899	rev
chr6	27168169	27168169	2ec7d11d-5772-4464-a828-e6a1b6c9343c	27159840	27179817	rev
chr7	120159033	120159033	181ab05a-544a-493c-965d-cf000ea33698	120153643	120177736	rev
chr9	133481323	133481323	48dad958-a54f-45e6-9484-dd7e6b9ff7a4	133476980	133485318	rev
chr10	33851421	33851421	36520573-0e12-4215-b448-8d8063dc8b88	33828425	33870132	fwd
chr10	41886271	41886271	71c13899-03e0-4802-b672-7eeee4c4fc79	41883621	41898023	fwd
chr13	87894930	87894930	f2df1d86-5e49-40c7-8708-cc2070217239	87871544	87902315	fwd
