chromosome	origin_start	origin_end	readID	read_start	read_end	strand	sample
chr1	88297725	88297725	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	OV3_Cisp0
chr1	143205414	143205414	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	OV3_Cisp0
chr1	143200293	143200293	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd	OV3_Cisp0
chr14	90238285	90238285	9207fec9-dfe9-4907-8ee7-e60b7937665f	90225623	90259680	fwd	OV3_Cisp0
chr18	11927088	11927088	47c3dd83-02ee-4072-902c-bb4e0e7324b8	11921575	11945534	fwd	OV3_Cisp0
chr19	38389376	38394471	f2d361a1-a8b8-4541-8f6e-c82975c2fd80	38370484	38401734	rev	OV3_Cisp0
chr2	66106274	66109959	6184f19f-2934-419c-a8e2-a57fc7c37470	66090069	66117306	fwd	OV3_Cisp0
chr2	87418715	87418715	d3591f7a-3b54-4123-9881-841af6cceec1	87414287	87431213	fwd	OV3_Cisp0
chr3	5861767	5913321	9bda739b-2c9f-46f3-a7ef-31eb4f51695c	5855589	5922900	rev	OV3_Cisp0
chr3	82373465	82373465	6062cc3f-99c8-4804-a884-7c41ca57dad0	82353156	82382194	rev	OV3_Cisp0
chr3	112259930	112263153	da5d1657-e9ec-4c25-80dc-55aa563d06e8	112252486	112269054	fwd	OV3_Cisp0
chr3	166355255	166380765	40bbd6b7-16f2-4da6-adca-2b7396e78350	166320146	166395420	rev	OV3_Cisp0
chr4	49131220	49131220	61f7b1f1-7e93-4f56-bb3d-3c8c452c31da	49100735	49156637	rev	OV3_Cisp0
chr4	49126760	49126760	d24b7e15-b2d3-494c-b39c-c13f689488f4	49111601	49143536	rev	OV3_Cisp0
chr4	49127187	49127187	d9a89cba-8326-4220-beb7-1428d27be158	49117434	49152864	fwd	OV3_Cisp0
chr4	69878472	69878472	e5ade9d7-02dc-4fc4-a66d-bcdcfc5d21f9	69865475	69902855	fwd	OV3_Cisp0
chr4	178237573	178237573	a535e148-8394-4870-b00c-6f30cb5636c6	178234067	178243815	rev	OV3_Cisp0
chr5	174056120	174056120	5abaed00-4861-4db6-a611-95abacd2582d	174050969	174068214	fwd	OV3_Cisp0
chr10	41884242	41884242	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd	OV3_Cisp0
chr10	41907908	41907908	8274a84d-542b-4eb7-aa58-88139a704dd9	41904110	41916259	fwd	OV3_Cisp0
chr11	76619801	76647772	acd7febb-2a50-4d20-8c43-599d3830556c	76606080	76656029	rev	OV3_Cisp0
chr13	77374797	77374797	a509294f-3005-43b4-a9ba-3a2ba401ad6b	77367156	77388371	fwd	OV3_Cisp0
chrX	134216605	134216605	b1f06ba2-8494-449b-8c5b-1ec2d0310624	134204214	134227461	fwd	OV3_Cisp0
chr10	41903738	41903738	806468f6-34ea-4e3b-b26f-3752e716a4a3	41889467	41916262	fwd	OV3_Cisp1_masked
chr2	87418768	87418768	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	OV3_Cisp1_masked
chr2	87426502	87426502	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	OV3_Cisp1_masked
chr2	87418715	87418715	c84535dc-6268-46fd-be82-a3be81f683f2	87414111	87431213	fwd	OV3_Cisp1_masked
chr20	31074172	31074172	66898fd7-e415-4940-8f7c-ee35a2bbffc3	31058143	31080766	fwd	OV3_Cisp1_masked
chr20	31068794	31068794	cf5ad76d-1cc8-44a0-9891-81d4fca86b29	31061278	31074395	fwd	OV3_Cisp1_masked
chr1	47316968	47316968	9d3aa54a-4d67-4902-83ab-cec837a61b52	47313289	47320842	fwd	UWB_Cisp0
chr1	193537175	193537175	58600f1b-83e5-414d-aedd-f9c65732765a	193532846	193545572	fwd	UWB_Cisp0
chr1	213690354	213690354	5083edf3-5278-4a92-914d-eb337f3083c4	213680519	213696077	rev	UWB_Cisp0
chr15	95624246	95624246	1e34d56b-2573-4274-9a60-1b44b39c03f7	95617644	95632743	fwd	UWB_Cisp0
chr16	7506053	7506053	94233342-c606-4594-83eb-9824c8c35c80	7500126	7515054	fwd	UWB_Cisp0
chr16	46392702	46392702	fbb23419-ee3b-4e57-9de3-022c158fb9c4	46382554	46406074	fwd	UWB_Cisp0
chr19	23568829	23568829	4c1c5ca3-e0bf-4412-8374-90c462527959	23558740	23576614	rev	UWB_Cisp0
chr2	52054645	52062490	f7519094-5dda-45f3-9913-707803fabb16	52044854	52066440	fwd	UWB_Cisp0
chr2	125676659	125676659	c5d7c8d2-8e4d-4f98-9e1f-bc42dd873ce5	125670334	125684893	rev	UWB_Cisp0
chr2	145545036	145545036	266cab4d-8268-4233-98f1-41878a6940a2	145539095	145552660	rev	UWB_Cisp0
chr3	165383498	165386895	c946c2d7-30d1-416d-93d7-0516732cb107	165375699	165393287	rev	UWB_Cisp0
chr3	181890503	181890503	76596cb7-86df-4a21-8ab3-37e0e0b255d3	181884985	181894262	fwd	UWB_Cisp0
chr4	37885234	37885234	89423576-c8ae-4d56-880a-c83828f99e98	37879513	37890963	fwd	UWB_Cisp0
chr4	109413862	109413862	fdcd93cd-8c10-40ac-be24-fb689bb812d7	109397787	109420699	rev	UWB_Cisp0
chr4	179577374	179577374	257fde22-01ea-4630-9d0b-948eb1dca3b4	179570508	179581458	rev	UWB_Cisp0
chr5	5161582	5161582	db746a90-ec5c-42b7-8054-fbd667a3a557	5159059	5165738	fwd	UWB_Cisp0
chr5	161902381	161902381	7ab1cf4c-632b-47d7-8a29-d5726320c32f	161897106	161907899	rev	UWB_Cisp0
chr6	27168169	27168169	2ec7d11d-5772-4464-a828-e6a1b6c9343c	27159840	27179817	rev	UWB_Cisp0
chr7	120159033	120159033	181ab05a-544a-493c-965d-cf000ea33698	120153643	120177736	rev	UWB_Cisp0
chr9	133481323	133481323	48dad958-a54f-45e6-9484-dd7e6b9ff7a4	133476980	133485318	rev	UWB_Cisp0
chr10	33851421	33851421	36520573-0e12-4215-b448-8d8063dc8b88	33828425	33870132	fwd	UWB_Cisp0
chr10	41886271	41886271	71c13899-03e0-4802-b672-7eeee4c4fc79	41883621	41898023	fwd	UWB_Cisp0
chr13	87894930	87894930	f2df1d86-5e49-40c7-8708-cc2070217239	87871544	87902315	fwd	UWB_Cisp0
chr1	143218702	143218702	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	UWB_Cisp1
chr1	143228695	143228695	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	UWB_Cisp1
chr4	49150625	49150625	d51541e7-3790-4277-a351-393f1ec2a5c5	49143801	49156884	rev	UWB_Cisp1
chr4	49639406	49639406	123441ea-8b48-4ea9-b39d-7a0dd3b86fed	49634968	49649043	fwd	UWB_Cisp1
chr10	41885215	41885215	0cda25fd-d6cc-493e-a9a1-08a470c02ae7	41875787	41892301	fwd	UWB_Cisp1
chr10	41903410	41903410	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	41893512	41916263	fwd	UWB_Cisp1
chr10	41911481	41911481	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	41893512	41916263	fwd	UWB_Cisp1
