chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction	sample
chr1	1612078	1619882	c13e6cf5-daba-4f36-8443-c9449cdd381c	1602766	1625023	rev	7804	1183	6229	0	0.25974	0.028357	0.537114	-3	right	OV3_Cisp0
chr1	1823349	1828022	79f26a37-e96d-4329-9705-89dd37489e36	1814662	1828028	fwd	4673	2716	1293	0	0.389037	0	0.594675	-3	right	OV3_Cisp0
chr1	3572954	3579302	ed3f1452-da07-42ce-bdcf-8fd59367a882	3570057	3594887	rev	6348	1324	4756	0	0.481132	0.033367	0.537917	-3	right	OV3_Cisp0
chr1	7680883	7689209	f851ded5-cabf-4e60-a7b5-a7d8ff26fbb1	7673769	7691623	fwd	8326	1079	5642	0	0.483412	0.01519	0.838819	-3	right	OV3_Cisp0
chr1	10795318	10799676	84752334-860b-443e-85f1-52abdcc06b08	10783106	10799683	fwd	4358	1008	2745	0	0.220126	0	0.606299	-3	right	OV3_Cisp0
chr1	12713908	12729507	313cb74c-525e-457a-84ae-d1070c18b2dd	12713892	12759351	rev	15599	3769	10387	0.006316	0.757895	0.022067	0.804878	0.222883	right	OV3_Cisp0
chr1	14069991	14078957	00bd382c-621f-437b-8813-ab65616d1598	14066596	14078962	rev	8966	1205	4698	0	0.78117	0.027096	0.767146	-3	right	OV3_Cisp0
chr1	14067527	14080283	26122746-39a8-46c1-b35a-81d642b15fc5	14067518	14080287	rev	12756	4538	6091	0.010084	0.835294	0.039899	0.766941	-3	right	OV3_Cisp0
chr1	14908666	14919056	654bf027-9f7a-4db6-8da7-e5941d41f8d6	14902667	14941167	fwd	10390	1129	8311	0	0.430108	0.02409	0.639672	0.726303	right	OV3_Cisp0
chr1	17000275	17010750	6cee407c-61b5-4e61-aead-5f0d57171745	16990761	17011390	fwd	10475	1802	4901	0	0.514881	0.008666	0.614385	-3	right	OV3_Cisp0
chr1	23795979	23809045	c5603d82-38ab-4eb3-bb33-2a5b91b02713	23774098	23827102	fwd	13066	5897	6794	0.00353	0.421889	0.02093	0.75	0.430409	right	OV3_Cisp0
chr1	36346965	36360371	07677a27-a5a4-4ab8-86f1-de620dad39b8	36335147	36364385	fwd	13406	4659	6625	0	0.367934	0.001884	0.824121	-3	right	OV3_Cisp0
chr1	36621441	36637511	a6f6e423-cf2f-4d3f-b654-8b40d2778b31	36590560	36637959	rev	16070	5713	7302	0	0.748339	0.016083	0.686962	-3	right	OV3_Cisp0
chr1	37016633	37032104	a6e6b912-8645-4f59-bc58-93acc1fd9bbc	37016625	37032110	rev	15471	3633	8014	0.027831	0.698656	0.036603	0.799155	-3	right	OV3_Cisp0
chr1	38188762	38206426	d5647b50-efa1-46a6-85de-29c6b3f310e0	38176975	38223666	fwd	17664	4119	13082	0.016744	0.64093	0.03146	0.770312	0.242541	right	OV3_Cisp0
chr1	42389402	42398484	d0a19ba2-2f31-41c8-ab1a-bec8b78290fc	42372677	42398488	rev	9082	5537	1394	0.009524	0.373469	0.010667	0.562667	-3	right	OV3_Cisp0
chr1	42446103	42458395	5eef0051-192d-4551-bf52-65ca256b8a37	42440506	42458399	rev	12292	6652	2455	0	0.830268	0.005484	0.756856	-3	right	OV3_Cisp0
chr1	45455365	45463523	4aff019e-f010-4678-ae11-494a007ca891	45455355	45463530	rev	8158	3405	3846	0.03176	0.724138	0.091324	0.69589	-3	right	OV3_Cisp0
chr1	46045160	46069853	c3a2b841-01ad-4733-b5db-879d1d872a2a	46045154	46078088	fwd	24693	4921	18128	0.027108	0.829066	0.067644	0.735288	0.278758	right	OV3_Cisp0
chr1	46369914	46372930	401c7ea3-5261-47da-86f5-65264da790e1	46368560	46381061	rev	3016	1136	1172	0.029703	0.415842	0.008264	0.450413	-3	right	OV3_Cisp0
chr1	55489950	55504315	bf3ae35c-047d-4088-bc20-d5effb386784	55489943	55517053	rev	14365	1002	12940	0	0.77459	0.00446	0.860147	0.154469	right	OV3_Cisp0
chr1	57138451	57154031	c7a18de0-128e-4c12-b564-a4fde8f17e15	57112731	57170248	rev	15580	7086	7741	0.001468	0.521292	0.021429	0.638571	0.261285	right	OV3_Cisp0
chr1	57466221	57480149	01c6882c-ff64-4773-8329-0147cff4e6e2	57464739	57480885	fwd	13928	3603	7385	0.025568	0.515152	0	0.819815	-3	right	OV3_Cisp0
chr1	61666748	61671560	a256497b-7300-4018-a65a-6de2a46392a0	61656253	61671565	rev	4812	2244	2113	0	0.586648	0.014749	0.666667	-3	right	OV3_Cisp0
chr1	62746472	62753097	e626f5a2-0083-472d-8119-8fa4d6d2fdcf	62740212	62753103	fwd	6625	3030	3311	0	0.759706	0.007049	0.79859	-3	right	OV3_Cisp0
chr1	70233612	70240284	8880549d-56c5-4685-b9c5-b923a29e4847	70222403	70240292	rev	6672	4055	2154	0.009946	0.349005	0.00303	0.612121	-3	right	OV3_Cisp0
chr1	70705391	70712881	e7a916e5-d9b5-4238-810e-948ea9f95841	70703347	70712887	rev	7490	3739	3262	0.015799	0.548327	0.006667	0.794286	-3	right	OV3_Cisp0
chr1	71966196	71978656	ff249c46-b8e0-4490-93ff-099a89436acd	71956684	71980118	fwd	12460	4681	4883	0.003701	0.73057	0.026938	0.752957	-3	right	OV3_Cisp0
chr1	72852680	72864152	7441a335-5a92-44a4-9624-baa90fa9e259	72800712	72864286	rev	11472	3709	4049	0	0.401654	0.001638	0.752662	-3	right	OV3_Cisp0
chr1	72879286	72898985	547b58a1-5538-40d1-82d1-5a3ad554ad40	72872559	72898989	rev	19699	6093	9175	0.003968	0.840774	0.061189	0.8154	-3	right	OV3_Cisp0
chr1	73081156	73096323	8ca949f3-6cd2-4c93-a206-5093aa4da140	73081139	73096333	fwd	15167	2845	10243	0.009804	0.792157	0.020056	0.823955	-3	right	OV3_Cisp0
chr1	73380883	73391890	e6607ca7-c5bd-44a4-9587-dee9ab7549a3	73376057	73391895	fwd	11007	2330	6000	0	0.636914	0.070525	0.715467	-3	right	OV3_Cisp0
chr1	73479677	73492698	ccc75ac2-0bd8-4486-a96c-d99b8554a26d	73479671	73492703	fwd	13021	1027	9401	0.015385	0.796923	0	0.925849	-3	right	OV3_Cisp0
chr1	81661534	81676495	bbda9126-10aa-4fec-bcf5-e5ff9a7d42e9	81657708	81691382	fwd	14961	3826	9490	0.016722	0.588629	0.023741	0.819065	0.1462	right	OV3_Cisp0
chr1	81859248	81865856	8a4210a4-7786-4ce5-8e05-554d6405ba07	81854514	81866387	rev	6608	2121	1576	0	0.876364	0.089212	0.695021	-3	right	OV3_Cisp0
chr1	82185880	82203162	b9564b7f-da90-4e41-861f-efae6fe00650	82185873	82203762	rev	17282	1636	13199	0.157303	0.705618	0.000741	0.922697	-3	right	OV3_Cisp0
chr1	82294369	82330176	f87d67d6-9306-4e44-b8d7-362df11da32d	82292928	82330180	rev	35807	3319	29896	0.037486	0.646086	0.033401	0.693189	-3	right	OV3_Cisp0
chr1	84593345	84598202	4875d11e-5af6-479e-808b-14a4a8061839	84580590	84606840	fwd	4857	1149	3101	0	0.461207	0	0.713217	0.589834	right	OV3_Cisp0
chr1	88297725	88306218	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	8493	511	6024	0.129032	0.258065	0.066353	0.642983	0.425191	right	OV3_Cisp0
chr1	89321457	89327379	2a41d31a-f0ca-4634-a24e-d88295dc856b	89304517	89343662	rev	5922	3954	1711	0.012512	0.750722	0.049612	0.716279	-1	right	OV3_Cisp0
chr1	89917478	89929276	21701874-5780-4bc8-88b7-ec5defa1ce38	89908559	89929282	fwd	11798	5250	4339	0.0031	0.764414	0.008084	0.822959	-3	right	OV3_Cisp0
chr1	90936452	90948729	9d7bd256-288d-4026-aa6d-c09aab0e12ab	90934316	90948734	fwd	12277	3533	6134	0.000863	0.876618	0.047934	0.782369	-3	right	OV3_Cisp0
chr1	95497650	95518322	2e3d832a-0da0-47da-b124-6c7e972926f7	95488353	95520366	rev	20672	2424	14992	0	0.7888	0.014638	0.816297	-3	right	OV3_Cisp0
chr1	99967140	99979673	2c7efd76-d89b-4c93-8f39-9b7012ea2861	99964123	99979678	fwd	12533	4424	5419	0.000908	0.767484	0.024167	0.857609	-3	right	OV3_Cisp0
chr1	101232751	101247638	c2eeae7f-d209-4edf-be63-6b2605c81b6b	101206567	101274347	fwd	14887	4423	10019	0	0.607985	0.010575	0.70074	0.265253	right	OV3_Cisp0
chr1	101398839	101415172	ec13a807-16e0-490b-b9bf-e050e7d5e808	101398452	101415281	fwd	16333	4742	11117	0.01584	0.643251	0.013782	0.839328	-3	right	OV3_Cisp0
chr1	102137655	102141703	7d66984c-f572-4f3b-bd26-c79b0bef6a84	102129013	102141712	fwd	4048	2456	1230	0	0.441176	0.018939	0.693182	-3	right	OV3_Cisp0
chr1	103402797	103415485	a7b804c2-2071-4113-8d05-f5f49438d307	103398907	103464163	rev	12688	1918	8866	0.08982	0.558882	0.00953	0.837989	0.19251	right	OV3_Cisp0
chr1	114034204	114046109	aabcbab4-e06b-41a7-ac40-c011d1245e9e	114024217	114046116	fwd	11905	3535	4450	0	0.485246	0	0.81811	-3	right	OV3_Cisp0
chr1	121129942	121135537	a4f02b2b-d7fd-4be4-95a2-6d244a0278ba	121129935	121135545	fwd	5595	1852	3338	0.013304	0.909091	0.051	0.81	-3	right	OV3_Cisp0
chr1	143266647	143270376	e72c92c7-688b-4558-9ac9-f986a5f0e40b	143184587	143272185	fwd	3729	1511	1411	0.038462	0.311538	0	0	-3	right	OV3_Cisp0
chr1	143205414	143210602	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	5188	615	4573	0	0.47619	0.006144	0.855607	-1	right	OV3_Cisp0
chr1	143216713	143227355	96f54afa-984e-47d3-9396-960b62a9099c	143184989	143240209	fwd	10642	5244	1209	0.063687	0.282682	0.333333	0	0.114392	right	OV3_Cisp0
chr1	143200293	143206039	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd	5746	608	3296	0	0.591398	0.267857	0.303571	-3	right	OV3_Cisp0
chr1	143211606	143220723	0b525f6a-4aea-4f32-a4b8-b0d3776b35fd	143199118	143220930	fwd	9117	3280	1871	0.009398	0.296992	0.057416	0.648325	-3	right	OV3_Cisp0
chr1	143211591	143217138	23a937cf-8ffd-4784-8990-9bdb3cdb190d	143211586	143228736	rev	5547	2737	1173	0.074641	0.395215	0	0.56051	-3	right	OV3_Cisp0
chr1	150795175	150801397	dd8b13d1-9ada-4f49-8d31-40881185e579	150771814	150801403	fwd	6222	4795	1049	0.002431	0.402755	0.019868	0.483444	-3	right	OV3_Cisp0
chr1	156135973	156139727	ab27d203-6436-416b-abee-b73fab38f9fd	156129949	156171390	fwd	3754	2154	1144	0	0.646778	0.01992	0.601594	-2	right	OV3_Cisp0
chr1	157185254	157195183	c04a2616-8907-43bf-bd8a-8134019e6bf4	157185127	157195187	rev	9929	4408	4187	0.006012	0.366733	0.011375	0.675284	-3	right	OV3_Cisp0
chr1	160449612	160460330	5c639df6-073b-4b29-b995-05c99b97f36e	160448514	160460336	rev	10718	3411	3682	0.003654	0.894032	0.052052	0.848849	-3	right	OV3_Cisp0
chr1	161617176	161621660	78b626a3-e3a8-4660-a83e-c6f5fbb00c95	161617163	161651406	rev	4484	1646	1641	0.047619	0.61039	0.017391	0.623913	-3	right	OV3_Cisp0
chr1	167747234	167767224	7db63e2b-68fb-45b4-86b3-7041b8962e40	167732157	167767890	fwd	19990	3557	13063	0.010952	0.566133	0.008664	0.576004	-3	right	OV3_Cisp0
chr1	170538840	170548355	bca54037-3aaf-4cc1-8335-bfc0a9349979	170535583	170548360	rev	9515	4558	4580	0	0.288809	0.000787	0.710236	-3	right	OV3_Cisp0
chr1	171892727	171904479	32eecd21-f1c9-4c04-b60a-390421aa6026	171887237	171904486	fwd	11752	7343	3022	0.001561	0.532579	0.060296	0.643914	-3	right	OV3_Cisp0
chr1	174827092	174841686	f7aa2d42-c7c8-43aa-a1ee-a73f5a074650	174827086	174841692	fwd	14594	4575	8809	0.008027	0.876923	0.041737	0.856239	-3	right	OV3_Cisp0
chr1	176854076	176876889	e782259f-5360-42c2-ae1e-746367e36b22	176853213	176884941	fwd	22813	3968	17514	0	0.693444	0.020634	0.840034	0.034178	right	OV3_Cisp0
chr1	177327108	177333192	996fe63e-9f0d-43f0-85a6-648141a4fe78	177312582	177333196	rev	6084	2571	2945	0	0.430769	0.003891	0.571984	-3	right	OV3_Cisp0
chr1	179354122	179365637	8cc92cb3-3959-48fa-8f54-6c9b35bd01af	179332691	179366989	rev	11515	3585	7507	0.003195	0.601704	0.019839	0.689008	-3	right	OV3_Cisp0
chr1	183352975	183362043	435fd5f6-2160-4601-b220-c81e5551499a	183336727	183362050	rev	9068	4453	4394	0.018083	0.479204	0.072182	0.602595	-3	right	OV3_Cisp0
chr1	186764424	186776068	aac8a59a-ffbf-4560-8a45-4e646fb48b6c	186764419	186776082	rev	11644	1149	9244	0	0.608696	0.005327	0.799087	-3	right	OV3_Cisp0
chr1	187029418	187036018	dbe7197d-1952-4367-8a40-3ed4a09deb3c	187017191	187036028	fwd	6600	3661	2637	0.025688	0.60367	0.017949	0.669231	-3	right	OV3_Cisp0
chr1	196056429	196078960	f712c44e-22b4-4095-9848-5fdcded7708e	196056424	196090326	rev	22531	3034	15710	0.078271	0.84229	0.031032	0.881838	0.190544	right	OV3_Cisp0
chr1	201097651	201102415	05ab2e1f-9922-48e2-bc43-d57708f7bb8e	201096756	201102425	rev	4764	1365	3040	0.036424	0.652318	0.001381	0.799724	-3	right	OV3_Cisp0
chr1	210227511	210235277	be902237-8e00-45c9-9682-90b2b09a95ca	210222190	210235291	fwd	7766	3504	1128	0.033014	0.514377	0.015209	0.703422	-3	right	OV3_Cisp0
chr1	211653026	211666720	f36ee34a-b2bc-4014-8ee5-bc2c734b5270	211652889	211667635	rev	13694	2615	6420	0.017572	0.522364	0.004747	0.827532	-3	right	OV3_Cisp0
chr1	212380555	212388730	e2e411b4-4ce9-4d33-9cc0-f8dfcf53b611	212380547	212388738	fwd	8175	2161	5710	0.008347	0.796327	0.013867	0.823575	-3	right	OV3_Cisp0
chr1	213185161	213194969	277c50b0-43ed-4738-bfe8-4835d9a3689d	213164930	213207600	rev	9808	4585	2595	0.005484	0.428702	0.040968	0.61825	0.120164	right	OV3_Cisp0
chr1	215259315	215275367	a87cfe11-7a3b-40af-bce8-497c560edb1c	215258259	215275377	fwd	16052	5455	8079	0.067717	0.436661	0.042056	0.840272	-3	right	OV3_Cisp0
chr1	221058895	221067352	fcdd787b-3ccd-4101-b400-f628ecf28068	221056165	221067356	rev	8457	2998	4872	0	0.475302	0.008838	0.886995	-3	right	OV3_Cisp0
chr1	223477163	223480235	a37dcbba-45bd-4a77-80d3-5dae45a65f2c	223461031	223484394	fwd	3072	2105	602	0	0.467775	0.067568	0.722973	-1	right	OV3_Cisp0
chr1	226109008	226113858	008f8314-96ef-4bd8-87ed-87c5f6092f1c	226104359	226113864	rev	4850	1194	2937	0	0.215311	0.014045	0.536517	-3	right	OV3_Cisp0
chr1	226206755	226219725	28bedf3b-57e2-43b6-a434-de9dad8e84a9	226194122	226219892	rev	12970	2615	10077	0	0.509745	0.041319	0.703615	-3	right	OV3_Cisp0
chr1	231668334	231679313	b98aafa3-0a1d-4aaa-a088-b1bbfa522ccf	231665502	231679320	rev	10979	3353	6979	0	0.384845	0.010071	0.816351	-3	right	OV3_Cisp0
chr1	235836100	235846249	48b768b9-b942-4308-8e3d-6e6328b881fe	235822861	235850318	fwd	10149	3414	4686	0	0.827202	0.021645	0.745455	-3	right	OV3_Cisp0
chr1	243952968	243984259	19920319-ca5e-4886-b5c0-ec70c5533d0c	243952964	243984266	fwd	31291	2351	25207	0.039823	0.817109	0.013503	0.826627	-3	right	OV3_Cisp0
chr1	247666756	247676897	d0b9a292-a4ba-47f9-8b97-2b1c554e4653	247665834	247676908	rev	10141	2186	6411	0.071556	0.568873	0.035479	0.860112	-3	right	OV3_Cisp0
chr10	13237559	13252478	0e24f67c-792d-47e1-9aec-d4882ff6f486	13237548	13257103	rev	14919	2462	10361	0.015437	0.523156	0.007228	0.787857	-3	right	OV3_Cisp0
chr10	15408254	15426309	7b8d030e-d1c9-48a8-bf93-9d74d439ae2c	15405154	15426625	rev	18055	1707	15129	0.03	0.668	0.054989	0.714412	-3	right	OV3_Cisp0
