chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	stall_score	fork_direction
chr1	11165385	11170470	26fe9c16-a239-4aa1-9f1f-02d117e40ffa	11165379	11174169	fwd	5361	-3	left
chr1	27595735	27600661	41a1a5c8-5e54-4227-9fb3-877153678f89	27595090	27613991	rev	4912	-3	left
chr1	41293949	41305240	6a960373-8ff8-475c-973b-ccc3f85903ba	41290417	41305247	rev	11141	-3	left
chr1	42227118	42232193	c0fed43a-80cf-40bf-956c-33809b18a145	42225857	42239969	rev	5034	-3	left
chr1	51986904	51992708	a7f85bbd-b8e8-45d1-ab69-4e4dfa308906	51986899	51992717	rev	5760	-3	left
chr1	53258397	53262107	6403bf30-c70b-4d52-a11c-e19805bd1383	53255851	53262509	rev	3700	-3	left
chr1	62456595	62467268	398f1635-812f-4c13-8d54-48d68e964fd4	62456590	62467276	rev	10594	-3	left
chr1	75628149	75632125	630f3f0b-b144-4fab-afba-6d7c2c85def3	75628145	75635299	fwd	3955	-3	left
chr1	76556273	76559034	54b5f1fe-03f8-4b22-97e6-b662eebbedbe	76556268	76570251	rev	2747	-3	left
chr1	91793353	91797059	96dd2887-40d4-4d24-adb0-3002b5559146	91793349	91798708	fwd	3718	-3	left
chr1	143209322	143217920	193bf75f-0e1c-44c6-8fca-408e237b3036	143200062	143221953	fwd	4300	-1	left
chr1	143211372	143223675	b69d0cf5-4f91-40ab-a5d2-2869483b9073	143211365	143223681	rev	9468	-3	left
chr1	143213603	143218702	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	3588	-3	left
chr1	143223403	143228695	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	1731	-1	left
chr1	145743599	145750530	cf973308-2c2d-44dc-bc7d-d681ecabf82a	145743593	145752250	fwd	6911	-3	left
chr1	147386999	147394483	bca52497-8529-407f-b161-d0a25ec4a049	147386995	147394491	fwd	7442	-3	left
chr1	151937246	151941644	65f1306d-d29f-4e31-97d5-68e9c00e01e9	151935941	151941650	fwd	4411	-3	left
chr1	219737409	219742703	55960c1e-db3a-4335-b9c9-487c6d1df9f7	219737404	219746657	rev	5274	-3	left
chr1	226704118	226711277	82438c37-0302-42f4-a03e-c5ddb8d624ff	226700606	226717647	rev	7116	-3	left
chr1	241364353	241371298	49ae65d6-3ff0-459a-9151-2f14a9a49ab0	241364345	241374397	fwd	6921	-3	left
chr10	10275622	10281814	d6e8e399-20d5-4b09-8555-64f390677f00	10275594	10287039	rev	6210	-3	left
chr10	29335462	29344975	15e4f83c-c44d-4aaf-b898-694f967299cb	29335449	29344980	rev	9533	-3	left
chr10	41894748	41898446	1276f8ab-f5fa-486b-870d-e6298d49cc4f	41868704	41904172	fwd	3218	-1	left
chr10	41879200	41881885	2d5b85e4-9dfa-4236-951f-4b6fe2ef200b	41875103	41889896	fwd	2306	-3	left
chr10	41879893	41885215	0cda25fd-d6cc-493e-a9a1-08a470c02ae7	41875787	41892301	fwd	4521	-3	left
chr10	41880536	41882948	e090b315-f9b9-460d-bd87-24c93c0092b1	41877294	41891012	fwd	2561	-1	left
chr10	41886460	41891985	e069bf96-bb9a-4028-94ff-daffb9495af5	41878527	41910681	rev	2837	-1	left
chr10	41885776	41892295	b8d7d44c-392a-4af3-950a-fea1595b347f	41880803	41892301	rev	5568	-1	left
chr10	41891746	41907992	76377e34-0cdc-4164-b18d-685e7ec69cf9	41881487	41909961	fwd	9112	-3	left
chr10	41890132	41892475	44c3c2b3-ac54-494d-bb72-1ef31cbd544a	41881793	41895226	fwd	1147	-1	left
chr10	41890523	41896588	d22d5ffc-1ba1-4f48-9f79-1a8c314d24d4	41883037	41900378	fwd	4958	-1	left
chr10	41895038	41901396	611a5672-38cf-4900-bb26-ef93fdf4404e	41884500	41911747	fwd	2232	-3	left
chr10	41892550	41898037	d4cc316b-6854-4bf5-a755-b99bf864c743	41889350	41905432	fwd	5578	-3	left
chr10	41900686	41903410	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	41893512	41916263	fwd	2784	-3	left
chr10	41908168	41911481	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	41893512	41916263	fwd	3481	-1	left
chr10	41903681	41909372	409bf0c1-13e2-4ab5-b979-8a03477951c3	41903675	41912758	rev	5575	-3	left
chr10	42072930	42077590	b0bf3b2c-2423-48cb-b3c3-9118f71e3bdd	42069796	42080668	rev	5000	-3	left
chr10	49830972	49839273	1335e7c6-87c3-4ad2-b18a-a3e2c3b4560a	49830963	49845421	fwd	8236	-3	left
chr10	55910142	55912545	9af2a3e8-f98d-4594-986c-15a0737d61cd	55906381	55921498	fwd	2339	-1	left
chr10	67643548	67656640	7394ae64-4a83-4edd-95db-1c4190c019cc	67643528	67659682	rev	13076	-3	left
chr10	78873967	78885723	1ec7c594-15d4-4ab3-ab97-b0255f1d1662	78873803	78885728	fwd	11754	-3	left
chr11	7971732	7978918	57b203f2-c8f9-4f4a-89d0-90a2e822545a	7971728	7982202	fwd	7170	-3	left
chr11	10766885	10772851	55bd9709-fa40-4437-a3c3-0f4ac5f981d3	10765781	10772859	rev	5959	-3	left
chr11	42977568	42985752	6d21813b-2784-40af-8697-0ac289f448da	42977559	42986527	rev	8150	-3	left
