chrom	n_gaps	interrogated_Mb	gaps_per_Mb	median_gap_len	mean_gap_len	n_EdU_negative_EdU	n_BrdU_negative_BrdU	n_EdU_BrdU_EdU
chr1	23385	2093.310	11.17	370	442	17091	4281	2013
chr2	14758	1947.604	7.58	388	452	11288	2535	935
chr3	16610	2331.115	7.13	381	448	12545	2927	1138
chr4	11695	1434.201	8.15	355	430	7900	2285	1510
chr5	10495	1574.105	6.67	359	435	7731	1866	898
chr6	8861	1282.728	6.91	369	444	6622	1631	608
chr7	7610	1060.483	7.18	391	456	5822	1272	516
chr8	9158	1392.781	6.58	382	447	6861	1626	671
chr9	8318	1214.444	6.85	385	449	6121	1639	558
chr10	13043	1216.442	10.72	356	432	9110	2485	1448
chr11	8613	1304.001	6.61	400	459	6648	1472	493
chr12	8167	1269.561	6.43	398	458	6138	1494	535
chr13	3460	505.389	6.85	391	454	2714	569	177
chr14	5622	874.942	6.43	403	460	4477	839	306
chr15	4295	642.513	6.68	381	447	3322	691	282
chr16	2975	435.181	6.84	393	451	2281	502	192
chr17	7479	781.348	9.57	379	447	5212	1445	822
chr18	3420	474.598	7.21	370	441	2459	712	249
chr19	4128	602.804	6.85	402	459	3188	671	269
chr20	9653	693.955	13.91	322	409	6066	1968	1619
chr21	6304	429.871	14.66	374	439	4369	1269	666
chr22	2348	257.916	9.10	378	448	1779	373	196
chrX	6789	970.632	6.99	377	445	5242	1047	500
chrY	4182	7.376	566.97	346	425	3537	180	465
