sample	chromosome	analogue	n_reads	n_positive_reads	total_labelled_bp	mean_bp	sd_bp	minimum_bp	q1_bp	q2_median_bp	q3_bp	q4_maximum_bp
OV3_Cisp0	chr1	EdU	166	166	586949	3535.84	1912.02	1002	2118	3513	4572.5	12617
OV3_Cisp0	chr1	BrdU	166	166	1151969	6939.57	5596.44	1049	3055.25	5635.5	8808	34982
OV3_Cisp0	chr1	EdU+BrdU	166	166	1738918	10475.41	6182.16	2308	6472	9206	12963.75	39965
OV3_Cisp0	chr10	EdU	93	93	319923	3440.03	1789.88	1023	2181	3198	4414	8909
OV3_Cisp0	chr10	BrdU	93	93	603966	6494.26	4977.78	1081	2663	4710	9178	26495
OV3_Cisp0	chr10	EdU+BrdU	93	93	923889	9934.29	5295.66	2204	5874	8696	12787	27959
OV3_Cisp0	chr11	EdU	114	114	422469	3705.87	1866.88	1037	2468	3450	4704.25	11112
OV3_Cisp0	chr11	BrdU	114	114	807318	7081.74	4565.06	1049	3577.25	6011	9623.25	19914
OV3_Cisp0	chr11	EdU+BrdU	114	114	1229787	10787.61	5057.84	2842	7030.5	9639.5	14111.5	24985
OV3_Cisp0	chr12	EdU	78	78	279701	3585.91	1951.58	1037	2084.75	3278.5	4497.25	11535
OV3_Cisp0	chr12	BrdU	78	78	509607	6533.42	4269.23	971	3557.75	5605	9411	22965
OV3_Cisp0	chr12	EdU+BrdU	78	78	789308	10119.33	4867.49	2421	6742.5	8695.5	12991.75	30750
OV3_Cisp0	chr13	EdU	35	35	123603	3531.51	2508.04	1012	1789	2751	4214	13512
OV3_Cisp0	chr13	BrdU	35	35	234117	6689.06	4779.12	1160	3656	4998	9561.5	23719
OV3_Cisp0	chr13	EdU+BrdU	35	35	357720	10220.57	5449.5	3392	6016.5	8840	13337	30534
OV3_Cisp0	chr14	EdU	66	66	217616	3297.21	1672.22	1104	2192.25	3128.5	4293.25	8641
OV3_Cisp0	chr14	BrdU	66	66	497383	7536.11	4760.35	1009	4101.75	6347.5	9916.5	23462
OV3_Cisp0	chr14	EdU+BrdU	66	66	714999	10833.32	4908.7	2916	6456.5	10771.5	13913.75	27180
OV3_Cisp0	chr15	EdU	49	49	180673	3687.2	2263.52	1125	2193	3605	4407	14967
OV3_Cisp0	chr15	BrdU	49	49	288400	5885.71	4387.82	1100	2621	4814	7753	22482
OV3_Cisp0	chr15	EdU+BrdU	49	49	469073	9572.92	5273.15	2452	5709	8619	11839	26869
OV3_Cisp0	chr16	EdU	47	47	175307	3729.94	3292.83	1066	1773.5	2699	4637	18465
OV3_Cisp0	chr16	BrdU	47	47	216195	4599.89	2938.96	1072	2382.5	4125	6119.5	14547
OV3_Cisp0	chr16	EdU+BrdU	47	47	391502	8329.83	4199.08	2438	5630.5	7477	9420.5	21367
OV3_Cisp0	chr17	EdU	65	65	234223	3603.43	1726.29	1063	2557	3290	4481	8805
OV3_Cisp0	chr17	BrdU	65	65	400873	6167.28	4603.29	1069	3036	5045	8363	25577
OV3_Cisp0	chr17	EdU+BrdU	65	65	635096	9770.71	5349.5	2371	6187	8383	11965	31648
OV3_Cisp0	chr18	EdU	33	33	130467	3953.55	1827.08	1110	1946	4115	5310	7647
OV3_Cisp0	chr18	BrdU	33	33	263988	7999.64	5690.58	1380	3885	6651	10607	27510
OV3_Cisp0	chr18	EdU+BrdU	33	33	394455	11953.18	6045.13	4605	7451	11351	13772	33784
OV3_Cisp0	chr19	EdU	42	42	142413	3390.79	1566.64	1027	2530.75	3276	3958.75	9191
OV3_Cisp0	chr19	BrdU	42	42	270874	6449.38	4472.2	1248	3284.5	4824	8811.75	20262
OV3_Cisp0	chr19	EdU+BrdU	42	42	413287	9840.17	4858.3	2692	6860.75	8599.5	13355.5	23901
OV3_Cisp0	chr2	EdU	152	152	533566	3510.3	1641.73	1002	2374	3111	4400	9202
OV3_Cisp0	chr2	BrdU	152	152	956763	6294.49	4693.22	1020	3190	4909	8340.25	29612
OV3_Cisp0	chr2	EdU+BrdU	152	152	1490329	9804.8	5087.66	2622	6332.5	8108.5	11964	33788
OV3_Cisp0	chr20	EdU	53	53	192927	3640.13	2250.11	1070	2258	3242	4362	14116
