chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	stall_score	fork_direction	sample
chr1	797259	805272	c8ca2746-bda7-40f0-baec-3cada5bb9476	797254	805281	rev	7948	-3	left	OV3_Cisp0
chr1	2230033	2243181	f09ffc9b-680b-4b81-b166-e9738e69a601	2229985	2243188	fwd	13052	-3	left	OV3_Cisp0
chr1	3152756	3163251	1f333b3c-ce32-473a-9f3e-5b5e4060533e	3151053	3172735	rev	10879	-3	left	OV3_Cisp0
chr1	5164375	5175702	f43dd5e2-c54d-4bed-bb4e-b780e369f543	5164360	5178259	rev	11293	-3	left	OV3_Cisp0
chr1	5654184	5665810	fab4e0aa-7409-4a49-becb-bfaba0b71d15	5654175	5665967	fwd	11578	-3	left	OV3_Cisp0
chr1	7047036	7055602	6f6410b0-627f-44ff-a79c-d31d357979f5	7047030	7055606	rev	8544	-3	left	OV3_Cisp0
chr1	7329525	7343530	5cc4fe90-f6b1-445e-956f-1a15ab03fc35	7329510	7343543	rev	14028	-3	left	OV3_Cisp0
chr1	7504556	7517422	43b2a87b-c31f-4368-ad9c-47c62dd28b95	7504550	7533022	rev	12830	-3	left	OV3_Cisp0
chr1	8219318	8230597	6fe08187-50f9-4f79-8830-3dc2342cc179	8210088	8242505	fwd	11241	0.349162	left	OV3_Cisp0
chr1	10148005	10167041	5101076a-545a-4ea0-a22a-961972d53d6d	10140611	10186282	rev	18967	-3	left	OV3_Cisp0
chr1	11318634	11331188	f6735164-623d-460e-b0ad-0494c9edbc6c	11318629	11335929	fwd	12544	-3	left	OV3_Cisp0
chr1	11465710	11472956	989f5e68-ca8a-42d4-ad01-511deea88425	11464729	11474076	rev	7230	-3	left	OV3_Cisp0
chr1	15109123	15122562	0ff5e647-b146-4b71-acbd-a33a7f64fd49	15109118	15128563	rev	13501	-3	left	OV3_Cisp0
chr1	18652269	18657696	81582bae-f94b-4a09-aaed-c1d1bb0b90ac	18652262	18657700	rev	5383	-3	left	OV3_Cisp0
