chromosome	origin_start	origin_end	readID	read_start	read_end	strand
chr1	88297725	88297725	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev
chr1	143205414	143205414	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev
chr1	143200293	143200293	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd
chr10	41884242	41884242	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd
chr10	41907908	41907908	8274a84d-542b-4eb7-aa58-88139a704dd9	41904110	41916259	fwd
chr11	76619801	76647772	acd7febb-2a50-4d20-8c43-599d3830556c	76606080	76656029	rev
chr13	77374797	77374797	a509294f-3005-43b4-a9ba-3a2ba401ad6b	77367156	77388371	fwd
chr14	90238285	90238285	9207fec9-dfe9-4907-8ee7-e60b7937665f	90225623	90259680	fwd
chr18	11927088	11927088	47c3dd83-02ee-4072-902c-bb4e0e7324b8	11921575	11945534	fwd
chr19	38389376	38394471	f2d361a1-a8b8-4541-8f6e-c82975c2fd80	38370484	38401734	rev
chr2	66106274	66109959	6184f19f-2934-419c-a8e2-a57fc7c37470	66090069	66117306	fwd
chr2	87418715	87418715	d3591f7a-3b54-4123-9881-841af6cceec1	87414287	87431213	fwd
chr3	5861767	5913321	9bda739b-2c9f-46f3-a7ef-31eb4f51695c	5855589	5922900	rev
chr3	82373465	82373465	6062cc3f-99c8-4804-a884-7c41ca57dad0	82353156	82382194	rev
chr3	112259930	112263153	da5d1657-e9ec-4c25-80dc-55aa563d06e8	112252486	112269054	fwd
chr3	166355255	166380765	40bbd6b7-16f2-4da6-adca-2b7396e78350	166320146	166395420	rev
chr4	49131220	49131220	61f7b1f1-7e93-4f56-bb3d-3c8c452c31da	49100735	49156637	rev
chr4	49126760	49126760	d24b7e15-b2d3-494c-b39c-c13f689488f4	49111601	49143536	rev
chr4	49127187	49127187	d9a89cba-8326-4220-beb7-1428d27be158	49117434	49152864	fwd
chr4	69878472	69878472	e5ade9d7-02dc-4fc4-a66d-bcdcfc5d21f9	69865475	69902855	fwd
chr4	178237573	178237573	a535e148-8394-4870-b00c-6f30cb5636c6	178234067	178243815	rev
chr5	174056120	174056120	5abaed00-4861-4db6-a611-95abacd2582d	174050969	174068214	fwd
chrX	134216605	134216605	b1f06ba2-8494-449b-8c5b-1ec2d0310624	134204214	134227461	fwd
