chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	stall_score	fork_direction
chr1	103270124	103275511	5d2ef80e-3e1a-4c47-a88a-e8d9a9cf42bc	103270117	103275516	fwd	5440	-3	left
chr1	103984870	103989492	bb36dcdb-cb74-42e1-85bf-625f4e560b41	103984866	103993323	fwd	4609	-3	left
chr1	143219875	143222346	195913d0-900e-455d-a801-53f3d9805d9b	143211654	143222963	fwd	2446	-3	left
chr1	207419243	207429779	77a3399f-7427-43a8-9cfd-3954e58b1a76	207419235	207440997	fwd	10429	-3	left
chr1	241629504	241639262	47ee281b-b6c0-4095-ac04-705541f83444	241629496	241639266	rev	9712	-3	left
chr10	27593732	27600680	fb380788-3958-44ae-8022-f4c0a162489c	27593725	27603512	fwd	6865	-3	left
chr10	41874318	41884004	0f6c8b3f-c125-4240-aa20-40ead838e4f9	41873791	41895042	fwd	10415	-3	left
chr10	41897912	41903738	806468f6-34ea-4e3b-b26f-3752e716a4a3	41889467	41916262	fwd	6533	-3	left
chr10	52851844	52860503	15bc7cda-ecf2-49d3-a4df-0eb6ff111c3f	52850806	52861623	rev	8590	-3	left
chr10	73608776	73614361	3dd2416d-33ea-42d7-bbe5-a843e5e48d03	73608269	73618574	rev	5562	-3	left
chr11	76143549	76153354	34a80ff0-21d9-4a57-b734-25949575618f	76143539	76161970	rev	9794	-3	left
chr11	113378006	113385552	f6a7aab5-c5a5-423c-b993-a218f370827e	113377675	113385559	fwd	7505	-3	left
chr11	127955383	127968540	a22a0e4a-67e0-424b-9505-0c72cf654178	127947138	127968545	rev	13140	0.089318	left
chr12	22872160	22875379	798b7a99-1a7e-419e-beee-1d0ae9be40ce	22872154	22882250	rev	3209	-3	left
chr12	41200663	41210211	8cfaf04d-4722-4604-b05b-7d8fafa90180	41200653	41210776	rev	9500	-3	left
chr12	51425805	51432603	b014211e-2d9d-4839-8f0e-a318fe341c34	51424471	51432810	fwd	6764	-3	left
chr12	65667130	65678567	0f8cca1a-8433-49ee-88ca-8a631c263de1	65667124	65678571	rev	11401	-3	left
chr12	67252236	67259605	65454942-c8b2-49d6-99ea-1eff997ad502	67252231	67260445	fwd	7353	-3	left
chr12	90711244	90725662	e82c6b68-21a5-4f0d-accf-c01287b96d35	90711240	90725668	fwd	14368	-3	left
chr13	86830955	86843345	239422fc-c8ad-4444-8054-56fafe47f7dd	86830432	86843353	rev	12303	-3	left
chr13	105818315	105826825	f2cdcbf2-9b39-4b3d-a59b-b25c5509a66a	105818307	105831166	fwd	8480	-3	left
chr17	12740721	12749476	5fcfb1a2-2e71-417c-83a0-4f71bcfb9347	12740711	12749481	fwd	8725	-3	left
chr18	3509906	3520899	9fcb526e-3d76-4ca3-948c-e226daceff08	3509786	3520904	fwd	10984	-3	left
chr2	15351361	15359337	5de0ee08-d481-464b-a1a4-7be13556f5da	15351352	15359343	rev	7876	-3	left
chr2	17739725	17750212	c1f8b8e6-db20-4671-a20f-0d9a7833103c	17739125	17750389	fwd	10434	-3	left
chr2	87416792	87418768	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	1266	-3	left
chr2	87423314	87426502	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	2341	-1	left
chr2	87414664	87418715	c84535dc-6268-46fd-be82-a3be81f683f2	87414111	87431213	fwd	3120	-3	left
chr2	100860571	100878356	b4860886-2d64-4c45-90aa-8f12c7f3f128	100860566	100880508	rev	17682	-3	left
chr2	146839222	146850616	58e1536e-0642-4f2c-9a14-2bf7226e4b5e	146839209	146850622	fwd	11379	-3	left
chr2	162647720	162654644	14012148-9c90-44b1-aa7f-bda9db9b7fd8	162646271	162656531	rev	6841	-3	left
chr2	198335136	198341748	a097662c-2131-4c69-b7b7-00cc25659fec	198334775	198341756	fwd	6547	-3	left
chr2	215375851	215381600	3607c143-73ca-4299-9ab4-b3b7a147f136	215375842	215381604	rev	5701	-3	left
chr20	29083780	29089574	dc5b603c-40b9-4b07-9bb7-02afb6723031	29083773	29089582	rev	5763	-3	left
chr20	31051846	31054655	3fe25e77-1339-4430-b40c-d51c9b9a01c5	31051526	31070436	fwd	1979	-3	left
chr20	31062817	31069746	3fe25e77-1339-4430-b40c-d51c9b9a01c5	31051526	31070436	fwd	5939	-3	left
chr20	31056150	31061642	78ee738b-fc51-4fd4-9b59-8460791a88db	31052299	31062533	fwd	5566	-3	left
chr20	31066719	31074896	d1e19435-93a5-4856-9b77-a27d22a28b89	31052798	31074901	rev	3653	-3	left
chr20	31054076	31057224	5fee887f-ce6a-457e-a2bb-45349aff0852	31054069	31061889	fwd	3103	-3	left
chr20	31074662	31077523	61a3e260-aa64-4fd4-81c9-ceef779e6f8d	31056401	31078690	fwd	2541	-3	left
chr20	31072412	31076698	c59646d1-1a2e-4dc9-b3ac-a8a4e723074f	31057030	31077103	fwd	2661	-1	left
chr20	31071293	31074172	66898fd7-e415-4940-8f7c-ee35a2bbffc3	31058143	31080766	fwd	2859	-3	left
chr20	31070369	31077788	5514a686-7330-41c5-ab6c-2e401c18367a	31058665	31077795	fwd	6649	-3	left
chr20	31071189	31074382	bd37ac1d-40a8-45d8-8d40-82d7e35189a5	31059663	31075706	fwd	2965	-3	left
