chrom	n_gaps	interrogated_Mb	gaps_per_Mb	median_gap_len	mean_gap_len	n_EdU_negative_EdU	n_BrdU_negative_BrdU	n_EdU_BrdU_EdU
chr1	31247	1979.076	15.79	332	416	19808	6283	5156
chr2	18297	1846.564	9.91	336	419	10090	4815	3392
chr3	22268	2214.129	10.06	339	420	12306	5881	4081
chr4	16567	1410.663	11.74	323	410	8726	4566	3275
chr5	15092	1516.513	9.95	346	423	8237	4154	2701
chr6	11378	1232.666	9.23	342	423	6455	3083	1840
chr7	10794	1010.147	10.69	342	423	5955	2864	1975
chr8	13616	1357.658	10.03	341	420	7187	3962	2467
chr9	11464	1132.374	10.12	341	419	6650	2970	1844
chr10	16920	1162.739	14.55	323	408	9392	4311	3217
chr11	11963	1229.774	9.73	335	418	6846	2989	2128
chr12	12066	1190.489	10.14	336	420	6731	3152	2183
chr13	4686	496.911	9.43	353	428	2716	1165	805
chr14	7879	827.866	9.52	338	417	4007	2359	1513
chr15	5627	604.244	9.31	331	417	3038	1467	1122
chr16	38497	449.941	85.56	290	381	27493	3120	7884
chr17	8400	697.697	12.04	340	424	4784	2045	1571
chr18	4704	466.027	10.09	336	418	2575	1245	884
chr19	5255	556.146	9.45	348	431	3048	1330	877
chr20	10401	644.328	16.14	317	405	5766	2357	2278
chr21	7315	418.892	17.46	352	428	4417	1710	1188
chr22	2988	238.883	12.51	340	419	1922	619	447
chrX	10188	977.675	10.42	321	410	5364	3116	1708
chrY	3384	6.956	486.49	363	433	2912	172	300
