chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction	sample
chr1	797259	805272	c8ca2746-bda7-40f0-baec-3cada5bb9476	797254	805281	rev	8013	4699	2700	0.034605	0.827684	0.107962	0.723347	-3	left	OV3_Cisp0
chr1	2230033	2243181	f09ffc9b-680b-4b81-b166-e9738e69a601	2229985	2243188	fwd	13148	1268	6916	0.005848	0.815789	0.040445	0.771981	-3	left	OV3_Cisp0
chr1	3152756	3163251	1f333b3c-ce32-473a-9f3e-5b5e4060533e	3151053	3172735	rev	10495	3798	5232	0.018158	0.561608	0.002648	0.781995	-3	left	OV3_Cisp0
chr1	5164375	5175702	f43dd5e2-c54d-4bed-bb4e-b780e369f543	5164360	5178259	rev	11327	2777	6248	0.093617	0.550355	0.043505	0.705136	-3	left	OV3_Cisp0
chr1	5654184	5665810	fab4e0aa-7409-4a49-becb-bfaba0b71d15	5654175	5665967	fwd	11626	1065	9418	0.083333	0.491667	0.037699	0.808603	-3	left	OV3_Cisp0
chr1	7047036	7055602	6f6410b0-627f-44ff-a79c-d31d357979f5	7047030	7055606	rev	8566	3395	4680	0.020833	0.559295	0.011375	0.873837	-3	left	OV3_Cisp0
chr1	7329525	7343530	5cc4fe90-f6b1-445e-956f-1a15ab03fc35	7329510	7343543	rev	14005	4123	9545	0.041314	0.735169	0.050819	0.859303	-3	left	OV3_Cisp0
chr1	7504556	7517422	43b2a87b-c31f-4368-ad9c-47c62dd28b95	7504550	7533022	rev	12866	4952	4339	0	0.337696	0.011976	0.683633	-3	left	OV3_Cisp0
chr1	8219318	8230597	6fe08187-50f9-4f79-8830-3dc2342cc179	8210088	8242505	fwd	11279	3499	5629	0.001508	0.366516	0.011586	0.614772	0.349162	left	OV3_Cisp0
chr1	10148005	10167041	5101076a-545a-4ea0-a22a-961972d53d6d	10140611	10186282	rev	19036	4999	9717	0	0.642918	0.004448	0.819125	-3	left	OV3_Cisp0
chr1	11318634	11331188	f6735164-623d-460e-b0ad-0494c9edbc6c	11318629	11335929	fwd	12554	4501	4639	0.002885	0.503846	0.023011	0.748802	-3	left	OV3_Cisp0
chr1	11465710	11472956	989f5e68-ca8a-42d4-ad01-511deea88425	11464729	11474076	rev	7246	4343	1720	0.029463	0.660312	0.044619	0.637795	-3	left	OV3_Cisp0
chr1	15109123	15122562	0ff5e647-b146-4b71-acbd-a33a7f64fd49	15109118	15128563	rev	13439	4699	7314	0	0.481778	0.05594	0.653677	-3	left	OV3_Cisp0
chr1	18652269	18657696	81582bae-f94b-4a09-aaed-c1d1bb0b90ac	18652262	18657700	rev	5427	1500	2385	0.122549	0.789216	0.050435	0.848696	-3	left	OV3_Cisp0
chr1	19214628	19226043	46fac2fb-ff20-4186-8d9e-4c58005fc62c	19201766	19226067	fwd	11415	1005	6950	0	0.283843	0.008444	0.906514	0.126749	left	OV3_Cisp0
chr1	27000436	27009103	cb8c22fb-b199-42b5-b59a-a5a4840fd8fa	26993357	27024580	rev	8667	1217	7121	0	0.549645	0.02236	0.603106	-3	left	OV3_Cisp0
chr1	31572991	31580266	9f80eaa8-8b24-496f-86e2-48b4c644888e	31566453	31598839	rev	7275	2295	2641	0	0.336471	0.004399	0.697947	-3	left	OV3_Cisp0
chr1	39750513	39758875	a535ab8a-8557-4fc2-8cac-eafd5bab8175	39744406	39770722	rev	8362	4940	3014	0	0.349388	0	0.772727	-3	left	OV3_Cisp0
chr1	42558273	42582282	60fa8bbd-36d9-46f2-a3f8-32b32c2bf52b	42558269	42587932	fwd	24009	7359	11970	0	0.530551	0.037311	0.778824	-3	left	OV3_Cisp0
chr1	42945343	42957988	e1e6012f-3b0b-4ae1-9f5a-81e63870aada	42945336	42957994	fwd	12645	4565	5916	0.036157	0.711777	0.039751	0.787997	-3	left	OV3_Cisp0
chr1	44175243	44184246	0166e623-f789-4330-ae0f-1e2b7e089b87	44170504	44184261	rev	9003	1057	5003	0	0.826087	0	0.858391	-3	left	OV3_Cisp0
chr1	51402327	51409218	20c19516-000c-40d3-ac50-cd173013c8a2	51402310	51418448	rev	6891	3939	2371	0.006346	0.613781	0.038519	0.536296	-3	left	OV3_Cisp0
chr1	51496989	51509626	268e5a20-5b45-4891-adc9-0666b44a7e7d	51496440	51509632	rev	12637	1222	10177	0	0.950739	0.024496	0.893953	-3	left	OV3_Cisp0
chr1	52022315	52033457	f990bdf4-e0fd-42e5-ad1f-fa0dfaf1c041	52021356	52033478	rev	11142	2117	7975	0	0.868321	0.004255	0.913475	-3	left	OV3_Cisp0
chr1	54815280	54821918	25ad67c5-f4bc-4242-b305-19f9c836d5c9	54815275	54824867	rev	6638	1881	4648	0	0.404494	0.006557	0.820765	-3	left	OV3_Cisp0
chr1	63053254	63062608	a7c438e0-0b8f-4d23-92ff-3dc171761a2b	63052236	63062612	rev	9354	3059	5775	0.006593	0.659341	0.097011	0.440496	-3	left	OV3_Cisp0
chr1	64148668	64156613	da4b0532-03ba-450a-a9c4-61da071a0773	64148663	64162157	rev	7945	3865	3219	0.020495	0.609735	0.046229	0.572993	-3	left	OV3_Cisp0
chr1	64686682	64697368	430d04b0-527e-420c-8f4f-c68870cc6f9a	64685326	64698869	fwd	10686	4184	5937	0	0.630884	0.048378	0.833628	-3	left	OV3_Cisp0
