chrom	n_gaps	interrogated_Mb	gaps_per_Mb	median_gap_len	mean_gap_len	n_EdU_negative_EdU	n_BrdU_negative_BrdU	n_EdU_BrdU_EdU
chr1	27219	2030.360	13.41	364	438	17581	5900	3738
chr2	20252	2059.125	9.84	380	446	12672	4487	3093
chr3	18061	1857.486	9.72	380	445	11300	4088	2673
chr4	12647	1081.086	11.70	363	436	7429	3014	2204
chr5	11490	1148.286	10.01	366	441	6876	2680	1934
chr6	10064	1073.156	9.38	376	444	6550	2140	1374
chr7	10847	1130.409	9.60	385	450	7003	2296	1548
chr8	11186	1236.361	9.05	380	446	6974	2569	1643
chr9	6913	723.148	9.56	390	455	4485	1465	963
chr10	14402	944.794	15.24	342	422	8538	3000	2864
chr11	10381	1073.014	9.67	389	453	6392	2419	1570
chr12	9074	970.705	9.35	382	448	5642	2045	1387
chr13	5260	579.610	9.08	382	448	3402	1105	753
chr14	5328	563.843	9.45	381	447	3353	1148	827
chr15	4266	467.480	9.13	389	454	2760	842	664
chr16	37499	596.824	62.83	307	394	26772	3664	7063
chr17	4936	493.418	10.00	388	453	3145	1126	665
chr18	4094	402.021	10.18	386	452	2493	960	641
chr19	4472	414.786	10.78	374	447	2808	1073	591
chr20	9653	596.475	16.18	340	423	5615	2215	1823
chr21	5007	235.952	21.22	361	439	3177	1160	670
chr22	2794	204.321	13.67	376	444	1952	535	307
chrX	5852	592.859	9.87	392	451	3710	1256	886
chrY	4671	8.074	578.50	344	419	4004	172	495
