chromosome	termination_start	termination_end	readID	read_start	read_end	strand
chr1	89327379	89327379	2a41d31a-f0ca-4634-a24e-d88295dc856b	89304517	89343662	rev
chr1	103415485	103419780	a7b804c2-2071-4113-8d05-f5f49438d307	103398907	103464163	rev
chr1	143210602	143210602	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev
chr1	156139727	156144265	ab27d203-6436-416b-abee-b73fab38f9fd	156129949	156171390	fwd
chr1	223480235	223480235	a37dcbba-45bd-4a77-80d3-5dae45a65f2c	223461031	223484394	fwd
chr10	41890479	41890479	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd
chr10	81624477	81624477	5d781a47-a8b9-484c-bfdd-45127b89abe6	81617298	81634126	rev
chr11	115608443	115608443	f86f09d1-67d5-4175-9771-cbb5ac1aff9a	115590434	115611992	fwd
chr13	78042908	78075409	36337a9f-7a5d-44ad-8ac8-37f9e5d9da7f	78008093	78094616	rev
chr16	46396417	46396417	182b7ded-a362-41db-8656-4e2238cb17bf	46382568	46402658	rev
chr16	46392759	46392759	68ab7d78-3bc6-42f2-bd33-dcbaa7a15236	46382611	46407742	rev
chr16	46389646	46389646	86881a21-9895-4151-8f5c-5c74601d319e	46384016	46412069	rev
chr16	46396629	46396629	a443b7da-8669-43d3-9e82-22feb281696c	46385999	46403314	fwd
chr16	46396220	46396220	f6f32522-122b-40f5-baaa-cc220f15a15a	46388053	46407742	rev
chr19	53560769	53560769	4910947a-8083-4700-b591-ca874ce2a313	53553497	53585826	rev
chr2	91413677	91413677	a99b543c-7e73-4b44-958e-45305e773c02	91404242	91423218	fwd
chr2	101792804	101792804	5e031e70-7c80-480e-a356-da18278b3d66	101778428	101806590	fwd
chr2	140095971	140095971	c8b05904-d590-4a23-92da-369e41933839	140091580	140105325	rev
chr2	189664147	189664147	14f2f412-d8d0-4ec2-a47c-4f54ad97267d	189649578	189688529	fwd
chr2	198620136	198620136	9e7b4b8b-a51c-46de-8358-5a8e35abfe5b	198602199	198625294	rev
chr20	31067611	31067611	467c4806-2517-4b93-8fc0-4bd34d926783	31051508	31073213	fwd
chr20	31073736	31073736	f6351dd0-5f3c-4c6e-b1b8-3c3e9bf10692	31062919	31082166	fwd
chr20	58630919	58630919	ac672e4f-151d-4272-83b1-e40be769e6b3	58624520	58649428	fwd
chr21	7945067	7951292	d2e01e7a-4153-41cb-b696-213b5bd63568	7939810	7955850	fwd
chr3	54243424	54243424	9afa5c6c-6387-4221-a300-0264cb4e7287	54223437	54255321	rev
chr3	87152029	87152029	4897abd1-3e54-4c69-b37f-75a253999f3f	87145364	87158041	fwd
chr3	106111116	106111116	1e1d35de-a8ce-4366-ac5d-7802d9538451	106104097	106117798	fwd
chr3	147926154	147926154	b8959936-267f-41c5-bd30-c666c6883ac6	147916527	147932204	fwd
chr3	166343454	166346927	40bbd6b7-16f2-4da6-adca-2b7396e78350	166320146	166395420	rev
chr3	178002163	178002163	6c67e3a5-5ca0-4d41-887a-9e1f416f5967	177996068	178006009	rev
chr4	49121936	49121936	d24b7e15-b2d3-494c-b39c-c13f689488f4	49111601	49143536	rev
chr4	49130176	49130176	d9a89cba-8326-4220-beb7-1428d27be158	49117434	49152864	fwd
chr4	49651312	49651312	9590c999-c4db-4001-8a4b-bdb1caaa02e4	49643912	49658098	fwd
chr5	22501022	22501022	1d4869aa-b8fe-412a-aa05-27ee628d61c1	22464002	22515028	fwd
chr6	26852041	26852041	988c9cc7-2d89-4e92-bff3-cf68569ec454	26847334	26865907	rev
chr6	121879052	121879052	c7ef469c-85ab-47e8-b295-a97435fb0ed8	121861525	121911644	fwd
chr6	145488478	145488478	587b5dd4-fd3d-40b2-9e15-d1f9c7463461	145480038	145509840	fwd
chr7	21456005	21456005	43ae0014-2366-4d40-b525-9c2e7df02c53	21441341	21472049	fwd
chr7	62349506	62349506	2224c52a-ef9d-4f46-ba05-7350bab12a5f	62343496	62358864	rev
chr8	27742077	27742077	5afb3647-c882-493d-93cf-3e7874888bbd	27728564	27756345	rev
chr9	24635383	24635383	260eb3ba-b54c-4f00-8ff5-645b667612ff	24629442	24640777	fwd
chrX	124112938	124112938	784698e1-4549-4d42-bcf4-7ad02f691dc1	124107249	124147155	fwd
