chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction
chr1	103270124	103275511	5d2ef80e-3e1a-4c47-a88a-e8d9a9cf42bc	103270117	103275516	fwd	5387	1493	1297	0.021368	0.655983	0.024615	0.667692	-3	left
chr1	103984870	103989492	bb36dcdb-cb74-42e1-85bf-625f4e560b41	103984866	103993323	fwd	4622	1434	1551	0	0.399433	0	0.662844	-3	left
chr1	143219875	143222346	195913d0-900e-455d-a801-53f3d9805d9b	143211654	143222963	fwd	2471	1022	1101	0	0.314894	0	0.473251	-3	left
chr1	207419243	207429779	77a3399f-7427-43a8-9cfd-3954e58b1a76	207419235	207440997	fwd	10536	3882	3989	0.019895	0.329843	0.029562	0.662589	-3	left
chr1	241629504	241639262	47ee281b-b6c0-4095-ac04-705541f83444	241629496	241639266	rev	9758	1030	6020	0.053412	0.272997	0.05743	0.469509	-3	left
chr10	27593732	27600680	fb380788-3958-44ae-8022-f4c0a162489c	27593725	27603512	fwd	6948	1210	4244	0.038235	0.235294	0.006452	0.659355	-3	left
chr10	41874318	41884004	0f6c8b3f-c125-4240-aa20-40ead838e4f9	41873791	41895042	fwd	9686	1644	6667	0.106762	0.370107	0.018548	0.398387	-3	left
chr10	41897912	41903738	806468f6-34ea-4e3b-b26f-3752e716a4a3	41889467	41916262	fwd	5826	513	1064	0.079545	0.681818	0	0.393939	-3	left
chr10	52851844	52860503	15bc7cda-ecf2-49d3-a4df-0eb6ff111c3f	52850806	52861623	rev	8659	1531	4431	0	0.355731	0.001422	0.868421	-3	left
chr10	73608776	73614361	3dd2416d-33ea-42d7-bbe5-a843e5e48d03	73608269	73618574	rev	5585	2655	1113	0.025767	0.311656	0.011494	0.557471	-3	left
chr11	76143549	76153354	34a80ff0-21d9-4a57-b734-25949575618f	76143539	76161970	rev	9805	3501	5929	0.001176	0.324706	0.009759	0.599219	-3	left
chr11	113378006	113385552	f6a7aab5-c5a5-423c-b993-a218f370827e	113377675	113385559	fwd	7546	1145	3987	0.003145	0.377358	0.013805	0.74547	-3	left
chr11	127955383	127968540	a22a0e4a-67e0-424b-9505-0c72cf654178	127947138	127968545	rev	13157	4284	8446	0	0.467391	0.002686	0.870299	0.089318	left
chr12	22872160	22875379	798b7a99-1a7e-419e-beee-1d0ae9be40ce	22872154	22882250	rev	3219	1468	1226	0.075067	0.324397	0.044118	0.517647	-3	left
chr12	41200663	41210211	8cfaf04d-4722-4604-b05b-7d8fafa90180	41200653	41210776	rev	9548	4536	4647	0	0.211599	0	0.703952	-3	left
chr12	51425805	51432603	b014211e-2d9d-4839-8f0e-a318fe341c34	51424471	51432810	fwd	6798	1233	3370	0	0.530822	0	0.839117	-3	left
chr12	65667130	65678567	0f8cca1a-8433-49ee-88ca-8a631c263de1	65667124	65678571	rev	11437	6934	2128	0	0.418126	0.035714	0.607143	-3	left
chr12	67252236	67259605	65454942-c8b2-49d6-99ea-1eff997ad502	67252231	67260445	fwd	7369	1265	5848	0.067449	0.442815	0.024118	0.599412	-3	left
chr12	90711244	90725662	e82c6b68-21a5-4f0d-accf-c01287b96d35	90711240	90725668	fwd	14418	1756	11292	0.126689	0.591216	0.014821	0.855425	-3	left
chr13	86830955	86843345	239422fc-c8ad-4444-8054-56fafe47f7dd	86830432	86843353	rev	12390	4981	4406	0	0.433105	0.005747	0.839719	-3	left
chr13	105818315	105826825	f2cdcbf2-9b39-4b3d-a59b-b25c5509a66a	105818307	105831166	fwd	8510	2239	5896	0	0.206612	0.066504	0.56925	-3	left
chr17	12740721	12749476	5fcfb1a2-2e71-417c-83a0-4f71bcfb9347	12740711	12749481	fwd	8755	5630	2833	0.012675	0.601067	0	0.830892	-3	left
chr18	3509906	3520899	9fcb526e-3d76-4ca3-948c-e226daceff08	3509786	3520904	fwd	10993	2208	7612	0.043845	0.322091	0.039535	0.613488	-3	left
chr2	15351361	15359337	5de0ee08-d481-464b-a1a4-7be13556f5da	15351352	15359343	rev	7976	1479	4084	0.09291	0.442543	0.02931	0.82931	-3	left
chr2	17739725	17750212	c1f8b8e6-db20-4671-a20f-0d9a7833103c	17739125	17750389	fwd	10487	1552	7587	0.045977	0.37931	0.005065	0.857324	-3	left
chr2	87416792	87418768	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	1976	581	1395	0	0	0	0.277778	-3	left
chr2	87423314	87426502	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	3188	898	2290	0	0	0	0.642857	-1	left
chr2	87414664	87418715	c84535dc-6268-46fd-be82-a3be81f683f2	87414111	87431213	fwd	4051	634	3417	0	0	0	0.372549	-3	left
chr2	100860571	100878356	b4860886-2d64-4c45-90aa-8f12c7f3f128	100860566	100880508	rev	17785	2783	11677	0.010219	0.341606	0.01464	0.799925	-3	left
chr2	146839222	146850616	58e1536e-0642-4f2c-9a14-2bf7226e4b5e	146839209	146850622	fwd	11394	1120	8527	0.038235	0.520588	0.044201	0.76955	-3	left
chr2	162647720	162654644	14012148-9c90-44b1-aa7f-bda9db9b7fd8	162646271	162656531	rev	6924	2030	1931	0.082245	0.353786	0.006944	0.414931	-3	left
chr2	198335136	198341748	a097662c-2131-4c69-b7b7-00cc25659fec	198334775	198341756	fwd	6612	2540	3703	0.027888	0.338645	0.005329	0.695382	-3	left
chr2	215375851	215381600	3607c143-73ca-4299-9ab4-b3b7a147f136	215375842	215381604	rev	5749	1215	3760	0.05919	0.741433	0.057461	0.806302	-3	left
chr20	29083780	29089574	dc5b603c-40b9-4b07-9bb7-02afb6723031	29083773	29089582	rev	5794	3013	2233	0.015915	0.385942	0.025	0.75	-3	left
chr20	31051846	31054655	3fe25e77-1339-4430-b40c-d51c9b9a01c5	31051526	31070436	fwd	2809	1199	1105	0	0.542373	0	0.603352	-3	left
chr20	31062817	31069746	3fe25e77-1339-4430-b40c-d51c9b9a01c5	31051526	31070436	fwd	6929	1149	1210	0.063158	0.384211	0	0.508021	-3	left
chr20	31056150	31061642	78ee738b-fc51-4fd4-9b59-8460791a88db	31052299	31062533	fwd	5492	3690	1025	0.138486	0.322061	0.01087	0.684783	-3	left
chr20	31066719	31074896	d1e19435-93a5-4856-9b77-a27d22a28b89	31052798	31074901	rev	8177	6808	1369	0.007886	0.213722	0	0.230769	-3	left
chr20	31054076	31057224	5fee887f-ce6a-457e-a2bb-45349aff0852	31054069	31061889	fwd	3148	1004	1799	0.04	0.314286	0	0.669091	-3	left
chr20	31074662	31077523	61a3e260-aa64-4fd4-81c9-ceef779e6f8d	31056401	31078690	fwd	2861	1128	1242	0.02907	0.319767	0	0.63913	-3	left
chr20	31072412	31076698	c59646d1-1a2e-4dc9-b3ac-a8a4e723074f	31057030	31077103	fwd	4286	1698	545	0.111475	0.403279	0.2	0	-1	left
chr20	31071293	31074172	66898fd7-e415-4940-8f7c-ee35a2bbffc3	31058143	31080766	fwd	2879	520	1184	0	0.378641	0.004785	0.588517	-3	left
chr20	31070369	31077788	5514a686-7330-41c5-ab6c-2e401c18367a	31058665	31077795	fwd	7419	1983	1403	0.009554	0.328025	0	0.366667	-3	left
chr20	31071189	31074382	bd37ac1d-40a8-45d8-8d40-82d7e35189a5	31059663	31075706	fwd	3193	1230	1223	0.073892	0.35468	0.026316	0.436842	-3	left
chr20	31061982	31067019	823c84cb-a2c8-433f-9ca1-0989911fa63f	31060559	31074876	fwd	5037	1038	1865	0	0.214815	0	0.554545	-3	left
chr20	31063272	31070709	b73a02bb-4e58-4ddd-95f4-54179b351040	31060926	31076599	fwd	7437	1048	1915	0.122905	0.379888	0.108209	0.619403	-3	left
chr20	31062802	31068794	cf5ad76d-1cc8-44a0-9891-81d4fca86b29	31061278	31074395	fwd	5992	971	1070	0.134228	0.422819	0.00578	0.49711	-3	left
chr20	31064047	31068508	db750b1a-317a-4272-b4d1-b5484001ee55	31062880	31070870	fwd	4461	1084	1370	0.076555	0.244019	0.013158	0.447368	-3	left
chr20	31072462	31080047	5765bb02-f4bc-4841-a3dd-d0549beccec5	31062827	31080055	fwd	7585	6460	525	0.058362	0.5	0.102041	0.397959	-1	left
chr20	31070819	31076698	987b3e97-05d9-4580-b47b-25959c7f976c	31070424	31077689	fwd	5879	1193	1148	0	0.333333	0	0.62963	-3	left
chr20	31186493	31192035	eba14b76-518e-4113-b283-21b9e81a845d	31186431	31192040	rev	5542	1941	1120	0.13354	0.548137	0.114713	0.526185	-3	left
chr22	10722633	10729368	50c67c49-29a1-439b-b234-793216a8b362	10722460	10740157	rev	6735	2192	1484	0	0.612565	0	0.539286	-3	left
chr22	26613094	26623722	e3c880be-1cb2-4c03-9467-1dd7f96f0618	26613062	26623912	fwd	10628	1553	8000	0	0.25	0.038086	0.507324	-3	left
chr22	31515018	31520935	8c702685-9c72-4555-b5dd-696c32c8d6b3	31515014	31530311	fwd	5917	2343	3128	0.005479	0.309589	0.018743	0.718853	-3	left
chr3	89381866	89387263	50ec97b4-ec50-42be-b1d6-dd154610b95d	89381861	89387275	rev	5397	3716	1326	0.002841	0.838068	0.059113	0.70936	-3	left
chr3	110689941	110701353	42bc603c-43b3-4b54-8534-24d4b3be9d06	110689935	110701986	fwd	11412	1604	8685	0.001698	0.212224	0.010761	0.647579	-3	left
chr3	156752553	156758581	db94fcf0-7867-4998-a5df-ef088d92006c	156752549	156758588	fwd	6028	1565	3722	0.012259	0.635727	0.062999	0.567879	-3	left
chr3	171249965	171256727	9dc858dd-1528-4d1e-857b-add170a7ebb0	171249961	171256736	fwd	6762	2596	3755	0	0.323848	0.011247	0.702454	-3	left
chr3	187640562	187649884	476d8188-c35c-4f5f-8403-d1b6179034c4	187640528	187650858	fwd	9322	1574	6527	0.035443	0.308861	0.054174	0.711996	-3	left
chr3	190014122	190020906	fd838802-3999-4fdb-9cbe-1a793a2df89f	190013364	190020914	rev	6784	2237	4282	0.034743	0.746224	0.05	0.784211	-3	left
chr4	49106287	49114646	929594ee-f6bc-4592-b72b-05358679b18e	49097071	49114651	fwd	8359	6866	1233	0.121554	0.598283	0.078818	0.743842	-1	left
chr4	49129089	49134959	e427b7f1-d950-4fac-b848-131909a50cb6	49107058	49134966	rev	5870	1574	1639	0.021505	0.387097	0.018182	0.545455	-3	left
chr4	49143634	49147614	c758e69e-862b-4188-be0a-0ddeaa70e04a	49138579	49147794	fwd	3980	2648	841	0.121012	0.585259	0.056478	0.644518	-1	left
chr4	49153869	49156624	7a524d78-d6fe-4e1f-aa23-54c7b81ef930	49146922	49156630	fwd	2755	1162	1069	0.148681	0.522782	0.102639	0.642229	-3	left
