chromosome	BrdU_start	BrdU_end	readID	read_start	read_end	strand
chr1	797259	799959	c8ca2746-bda7-40f0-baec-3cada5bb9476	797254	805281	rev
chr1	1613653	1619882	c13e6cf5-daba-4f36-8443-c9449cdd381c	1602766	1625023	rev
chr1	1826729	1828022	79f26a37-e96d-4329-9705-89dd37489e36	1814662	1828028	fwd
chr1	2230033	2236949	f09ffc9b-680b-4b81-b166-e9738e69a601	2229985	2243188	fwd
chr1	3152756	3157988	1f333b3c-ce32-473a-9f3e-5b5e4060533e	3151053	3172735	rev
chr1	3574546	3579302	ed3f1452-da07-42ce-bdcf-8fd59367a882	3570057	3594887	rev
chr1	5164375	5170623	f43dd5e2-c54d-4bed-bb4e-b780e369f543	5164360	5178259	rev
chr1	5654184	5663602	fab4e0aa-7409-4a49-becb-bfaba0b71d15	5654175	5665967	fwd
chr1	7047036	7051716	6f6410b0-627f-44ff-a79c-d31d357979f5	7047030	7055606	rev
chr1	7329525	7339070	5cc4fe90-f6b1-445e-956f-1a15ab03fc35	7329510	7343543	rev
chr1	7504556	7508895	43b2a87b-c31f-4368-ad9c-47c62dd28b95	7504550	7533022	rev
chr1	7683567	7689209	f851ded5-cabf-4e60-a7b5-a7d8ff26fbb1	7673769	7691623	fwd
chr1	8219318	8224947	6fe08187-50f9-4f79-8830-3dc2342cc179	8210088	8242505	fwd
chr1	10148005	10157722	5101076a-545a-4ea0-a22a-961972d53d6d	10140611	10186282	rev
chr1	10796931	10799676	84752334-860b-443e-85f1-52abdcc06b08	10783106	10799683	fwd
chr1	11318634	11323273	f6735164-623d-460e-b0ad-0494c9edbc6c	11318629	11335929	fwd
chr1	11465710	11467430	989f5e68-ca8a-42d4-ad01-511deea88425	11464729	11474076	rev
chr1	12719120	12729507	313cb74c-525e-457a-84ae-d1070c18b2dd	12713892	12759351	rev
chr1	14074259	14078957	00bd382c-621f-437b-8813-ab65616d1598	14066596	14078962	rev
chr1	14074192	14080283	26122746-39a8-46c1-b35a-81d642b15fc5	14067518	14080287	rev
chr1	14910745	14919056	654bf027-9f7a-4db6-8da7-e5941d41f8d6	14902667	14941167	fwd
chr1	15109123	15116437	0ff5e647-b146-4b71-acbd-a33a7f64fd49	15109118	15128563	rev
chr1	17005849	17010750	6cee407c-61b5-4e61-aead-5f0d57171745	16990761	17011390	fwd
chr1	18652269	18654654	81582bae-f94b-4a09-aaed-c1d1bb0b90ac	18652262	18657700	rev
chr1	19214628	19221578	46fac2fb-ff20-4186-8d9e-4c58005fc62c	19201766	19226067	fwd
chr1	23802251	23809045	c5603d82-38ab-4eb3-bb33-2a5b91b02713	23774098	23827102	fwd
